X1	B.cell	Dendritic.cell	Macrophage	Neutrophil	T.cell	Basophil	Monocyte	NK.cell
2010016I18RIK	0	0	0	0	4.14295795384205	0	0	0
A630023P12RIK	0	0	0	0	0	0	0	1.94753258010587
AI839979	0	3.08111573448446	3.04376038552841	6.28397874066005	0	5.45877381922605	7.56106109761186	1.94753258010587
ADGRE1	0	0	7.38945208908437	6.28397874066005	0	2.75074777180255	5.9489157173668	1.94753258010587
ALOX15	0	3.08111573448446	3.04376038552841	0	0	0	0	1.94753258010587
BLK	0	0	0	0	0	1.95059140673861	0	4.73953953783003
BMX	0	0	0	0	0	4.58030446784311	5.09377866262286	1.94753258010587
BTLA	5.19826962713627	5.92366008500436	0	0	4.14295795384205	1.95059140673861	4.83916898116688	5.01919356523331
C1RL	0	0	2.2088881569867	0	0	6.06398991629681	5.9489157173668	0
CCL22	0	8.29660807404549	2.2088881569867	0	0	0	0	0
CCL4	0	10.3602247104494	11.2987018081399	9.96722625883599	7.65105169117893	7.57070387506318	4.83916898116688	7.87826991766875
CCL5	0	9.07230261595657	6.26841486484168	0	11.2786430436003	5.45877381922605	4.52978644096093	13.3992588481804
CCR3	0	0	0	0	0	1.95059140673861	0	0
CCR7	7.48841401236291	9.73427991192935	4.50710518018993	7.27469173878025	7.06967352780681	1.95059140673861	0	6.88438859711367
CD163L1	0	0	0	0	0	0	0	1.94753258010587
CD177	0	0	3.56919518486284	0	0	10.405461522507	5.8137457654895	1.94753258010587
CD19	8.16346997930501	0	3.56919518486284	0	0	2.75074777180255	0	6.23430422957961
CD200R3	0	0	0	0	0	5.54983154813583	2.70594736231395	0
CD200R4	0	0	2.2088881569867	0	4.14295795384205	3.26243143449706	2.70594736231395	4.73953953783003
CD22	0	0	0	0	0	0	0	5.25334100962995
CD27	0	0	0	0	4.14295795384205	3.9379702621365	3.59092816755755	6.57418802912698
CD300LD	0	4.54770027401481	6.33467812051884	9.43735195721415	0	3.9379702621365	3.59092816755755	5.25334100962995
CD3D	0	4.54770027401481	2.2088881569867	0	8.70620819860071	3.26243143449706	2.70594736231395	7.30508458472395
CD3E	0	0	2.2088881569867	0	6.08037341646402	0	0	4.73953953783003
CD3G	0	0	3.56919518486284	0	8.70620819860071	3.9379702621365	0	7.30508458472395
CD4	0	3.08111573448446	3.95352168094232	0	4.14295795384205	0	0	1.94753258010587
CD40	0	3.99325527036666	3.56919518486284	0	0	0	4.13541876945631	2.74723392962003
CD5	0	0	0	0	0	0	0	2.74723392962003
CD6	0	0	0	6.28397874066005	6.87856187255003	0	0	4.57634937041645
CD7	0	0	2.2088881569867	0	7.52617316951355	5.02319433556088	5.8137457654895	8.3264294871223
CD79A	9.40848138790485	0	2.2088881569867	0	0	5.14502337300783	5.49821559855321	7.11001715741924
CD79B	8.96866679319521	0	4.50710518018993	0	0	4.74351311626598	5.66458969898141	7.82473149077758
CD83	7.16849304594918	10.3845904737655	10.008408322293	9.43735195721415	5.10153802646206	0	2.70594736231395	4.39231742277876
CD8A	0	4.54770027401481	2.2088881569867	0	7.65105169117893	0	0	5.63143693052066
CD8B1	0	0	2.2088881569867	0	7.06967352780681	2.75074777180255	3.59092816755755	7.40574929758431
CLEC2G	0	0	0	0	0	0	0	0
CLEC4A3	0	4.94723348296767	7.15283593098775	6.28397874066005	0	1.95059140673861	7.00080929625336	5.14101230952707
CLEC4E	0	4.54770027401481	7.74663601928702	10.3539102235444	4.14295795384205	6.1825579883989	4.13541876945631	5.14101230952707
CLEC5A	0	3.99325527036666	3.04376038552841	0	0	7.40985287474539	6.6502980459787	1.94753258010587
CMA1	0	0	0	0	4.14295795384205	0	0	8.42566550441689
CTSW	0	0	3.56919518486284	0	8.2336196767597	0	0	9.2448734712898
CXCL2	0	8.29660807404549	10.1577313684638	11.1239721420993	4.14295795384205	3.63938476725441	0	1.94753258010587
CXCL3	0	3.99325527036666	3.56919518486284	0	0	0	0	0
CXCR2	0	0	0	0	0	6.34392699889581	3.59092816755755	4.39231742277876
CXCR6	0	0	0	0	8.06429367679616	0	0	2.74723392962003
DPEP2	0	6.50067840557514	4.50710518018993	0	0	0	4.52978644096093	0
EAR1	0	0	0	0	0	1.95059140673861	3.59092816755755	0
EAR2	0	5.73440631000904	5.88193410829554	8.85342952505498	0	6.77981811141087	7.33289581610316	5.35755200461808
F630040K05RIK	0	0	0	0	0	0	0	0
F730016J06RIK	0	0	0	0	0	3.63938476725441	0	0
FCER1A	0	0	0	0	0	6.00083943319059	0	0
FCER2A	6.17848701494574	0	2.2088881569867	0	0	1.95059140673861	0	6.23430422957961
FCGR4	6.17848701494574	4.94723348296767	7.74663601928702	0	4.14295795384205	5.36157935049781	0	4.88613203544172
FCMR	7.97154355395077	0	0	0	4.14295795384205	3.63938476725441	2.70594736231395	7.54468850373783
FCRL1	5.19826962713627	4.54770027401481	3.04376038552841	0	0	2.75074777180255	2.70594736231395	5.45473992331258
G430095P16RIK	0	3.99325527036666	0	0	0	1.95059140673861	5.09377866262286	1.94753258010587
GAPT	0	3.08111573448446	2.2088881569867	0	0	6.44227813378092	7.42853368964583	1.94753258010587
GM13986	0	0	0	0	0	2.75074777180255	2.70594736231395	0
GM20324	0	0	0	0	0	1.95059140673861	0	3.93411206434354
GM5544	0	0	0	0	0	0	0	0
GM8113	0	0	0	0	0	0	2.70594736231395	0
GM9733	0	3.08111573448446	2.2088881569867	0	0	4.39624901000793	4.83916898116688	3.25873426840017
GZMA	0	3.08111573448446	3.56919518486284	0	8.58621429693061	2.75074777180255	2.70594736231395	12.9220268394059
GZMB	0	3.08111573448446	3.04376038552841	0	6.08037341646402	0	0	8.48439135877634
H2-EB2	0	5.51652326080925	2.2088881569867	0	0	0	0	3.25873426840017
I830127L07RIK	0	3.08111573448446	4.90619347308184	0	0	10.8835995485012	10.7099739316783	6.88438859711367
IFI205	0	6.99848518269137	0	6.28397874066005	0	0	3.59092816755755	1.94753258010587
IFITM6	0	5.51652326080925	5.96795714442885	6.28397874066005	0	10.7769113800019	8.25203809417317	6.73760951073164
IL4	0	0	0	0	4.14295795384205	3.26243143449706	0	0
IL9R	0	0	0	0	0	0	0	0
ITGA2B	0	0	2.2088881569867	7.27469173878025	4.14295795384205	3.9379702621365	0	0
ITGAM	0	3.99325527036666	4.72040537087332	7.85654523945337	4.14295795384205	8.69211836134288	7.06174040062687	6.95253326116423
ITGAX	0	5.73440631000904	5.47502847368832	0	0	1.95059140673861	3.59092816755755	6.88438859711367
IZUMO1R	0	0	0	0	5.10153802646206	1.95059140673861	0	3.25873426840017
KLRA13-PS	0	0	0	0	4.14295795384205	0	0	9.39935422730104
KLRA7	0	0	0	0	5.10153802646206	0	0	8.7176764230664
KLRA8	0	0	0	0	5.6724253419715	0	0	9.45327063401062
KLRC1	0	0	0	0	6.08037341646402	1.95059140673861	0	7.11001715741924
KLRD1	0	6.50067840557514	3.04376038552841	0	4.14295795384205	0	3.59092816755755	9.67620896606749
KLRE1	0	0	0	0	5.10153802646206	0	0	8.44944346402179
KLRG1	0	0	0	0	4.14295795384205	0	0	8.73712660025319
KLRI2	0	0	0	0	0	0	0	7.42985503869741
KLRK1	0	5.51652326080925	4.50710518018993	0	6.39803107397315	0	2.70594736231395	8.78463484555752
LCK	5.19826962713627	3.99325527036666	3.04376038552841	0	7.76597668082528	3.63938476725441	0	9.04087677903621
LY6G	0	0	0	0	0	9.40347600884886	6.87063719610169	3.25873426840017
