Mixture	B.cell	Dendritic.cell	Eosinophils	Macrophage	Mast.cell	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
B.cell	0.762202296734483	0	0.115528414637983	0	0.00768742308588671	0	0.0781794823464203	0.0298284375062067	0	0.00657394568901945	0	0.68308612404508	0.739665961348959
Dendritic.cell	0	0.642664308742505	0.247441334891175	0	0.018997011290858	0	0.0158283689881713	0.0503162328714902	0.000229795888392065	0.0245229473274075	0	0.716125155337149	0.70703900143998
Eosinophils	0	0	0.497413794668994	0.0189636553960395	0	0	0.34323421626957	0.0515088054165801	0.0888795282488159	0	0	0.714828715468326	0.711938575267325
Macrophage	0	0	0.0967297331025653	0.599156014038345	0	0	0.14202945238324	0.0109304242254162	0.0546560603693624	0.0964983158810708	0	0.488500579466907	0.933145651177137
Mast.cell	0	0.000466733172957047	0.00780130424909376	0.0025836173288029	0.982110369013536	0	0.00703797623561072	0	0	0	0	0.546148258850118	1.00099852196506
Monocyte	0	0	0.0843710925336328	0	0.0130301096999715	0.780993425128751	0.0917257703632471	0.0193988394784438	0	0.0104807627959535	0	0.590386601736639	0.836726570847147
Neutrophil	0	0	0.159624178779515	0	0	0.0207276083063352	0.569855882186821	0.0284447159868574	0.068201731434895	0.153145883305576	0	0.504296642139348	0.946446586230773
NK.cell	0	0.0115569137471541	0.00354347230046425	0	0.000730118897528175	0.023308770964099	0.0333423708857503	0.900728134232423	0.0267902189725817	0	0	0.59910112722486	0.967234641084645
T.cell	0.00582168679176951	0.0289711292961043	0.0833521559989418	0	0	0.0745077953342896	0.110077007683213	0.249148953813922	0.405289327096291	0.0428319439854694	0	0.59795511920809	0.841873747559862
Basophil	0	0.00987442539191389	0.183941237859785	0.00367051412708196	0	0	0.218836469617017	0.0516195659896317	0	0.532057787014571	0	0.481188610837542	0.981835761117169
