X1	B.cell	Dendritic.cell	Macrophage	NK.cell	T.cell	Basophil	Monocyte	Neutrophil
2010016I18RIK	1.07744036461227	0	0	1.98498296435927	0	0	0	1.05895620969413
A630023P12RIK	2.53884875044351	2.65973026912313	0	3.83931561769774	3.26829926454988	0	0	1.66304727616028
AI839979	0.45427722054489	3.54080817111492	3.15971118858031	1.30992699741717	0	5.45877381922605	7.56106109761186	4.7257659666062
ADGRE1	3.59727929147761	4.78637391257406	9.46627881483688	3.30388880308041	4.19142012589374	2.75074777180255	5.9489157173668	3.18993161311906
ALOX15	3.19252827471674	4.78637391257406	3.15971118858031	2.79017977824947	2.58830749419945	0	0	3.35178389072735
BLK	4.93582263904223	4.08384706231283	3.15971118858031	3.83931561769774	3.60194145453094	1.95059140673861	0	3.9658968198644
BMX	0	0	0	0	0	4.58030446784311	5.09377866262286	6.02063539495234
BTLA	5.44496735006325	5.0406686297714	5.60344972809904	5.50394331801203	4.65729605445871	1.95059140673861	4.83916898116688	4.0626089598257
C1RL	0.45427722054489	0	3.15971118858031	0	0.354510309590756	6.06398991629681	5.9489157173668	5.71321800478139
CCL22	4.72991378112919	9.58300272450242	4.07664595803119	4.22893250810005	4.29740807212241	0	0	0
CCL4	7.84837042799493	10.5568117557391	11.3813626931671	9.75639841039922	8.02728998014665	7.57070387506318	4.83916898116688	4.69592386010756
CCL5	9.83667762266907	12.8460196203379	9.88484887578763	11.9988428356952	10.2489681532343	5.45877381922605	4.52978644096093	6.5655384282732
CCR7	9.13839023718913	10.8713973762343	8.24120763429755	9.11054894521588	8.9790569214413	1.95059140673861	0	5.88174202744809
CD163L1	1.07744036461227	0	0	3.83931561769774	1.08011604159241	0	0	0
CD177	1.31056401187879	2.65973026912313	0	1.98498296435927	0	10.405461522507	5.8137457654895	9.37044419274581
CD19	7.54239897448593	6.23779476325755	6.3284968454099	5.68077043141782	5.70745526880924	2.75074777180255	0	5.30237529746596
CD200R3	1.31056401187879	0	3.15971118858031	0	1.25867428731541	5.54983154813583	2.70594736231395	3.91499564524557
CD200R4	2.11465554349358	3.54080817111492	5.60344972809904	3.83931561769774	2.58830749419945	3.26243143449706	2.70594736231395	1.66304727616028
CD22	6.12593822885389	4.47745687525317	4.63282213949975	4.53539042132002	4.4705314271268	0	0	3.91499564524557
CD27	5.38234163279056	3.54080817111492	4.63282213949975	7.71135642369682	6.45792383758291	3.9379702621365	3.59092816755755	4.27933768169201
CD300LD	2.11465554349358	2.65973026912313	7.24596763691755	3.06977943777837	2.58830749419945	3.9379702621365	3.59092816755755	7.12596330177775
CD3D	8.71661069406858	8.45969320548173	8.71985054854418	10.8053098203878	9.4567061827848	3.26243143449706	2.70594736231395	6.30389945594247
CD3E	6.207677296444	6.01858493300885	6.58853618360097	8.27002572263891	7.00648431514592	0	0	3.10164424924247
CD3G	7.57636615573161	7.17609355579916	7.16849304594918	10.109243398179	8.52843506490855	3.9379702621365	0	5.32204531886594
CD4	4.55923908854186	5.0406686297714	6.58853618360097	7.0353766378036	5.4095327638416	0	0	1.66304727616028
CD40	5.6395997866141	7.97154355395077	7.5199482071422	4.6246062205262	4.50633659133868	0	4.13541876945631	1.39239185180557
CD5	3.84030854255021	4.47745687525317	5.03324818238657	7.64892658025837	5.76770495671589	0	0	1.66304727616028
CD6	4.84585215338632	5.0406686297714	4.63282213949975	7.39368873358254	5.66848010039428	0	0	2.79884474346089
CD7	5.39508614633957	6.74662151962079	5.34633783979166	8.13229818199919	6.11943247848658	5.02319433556088	5.8137457654895	3.91499564524557
CD79A	7.85068540026787	4.08384706231283	5.34633783979166	5.30237529746596	5.56192344855352	5.14502337300783	5.49821559855321	6.68428323890338
CD79B	8.37123575646917	6.33605543194145	6.90746298007978	6.82560802035308	6.80559569088653	4.74351311626598	5.66458969898141	6.72178795146763
CD83	8.8324098602471	10.5970025253521	10.0122698014126	7.71135642369682	7.4171473163965	0	2.70594736231395	3.18993161311906
CD8A	6.73940961707396	7.22820464705572	6.58853618360097	9.27459525818324	7.64102025663331	0	0	4.56997077583058
CD8B1	7.04454782001592	7.27849888674437	7.08662068662898	9.77600467591657	8.35395770107253	2.75074777180255	3.59092816755755	5.98406198384341
CLEC2G	0.45427722054489	0	0	0	0	0	0	0
CLEC4A3	4.11138475449056	5.0406686297714	8.71985054854418	4.6246062205262	4.52391136149367	1.95059140673861	7.00080929625336	4.91897949249899
