Mixture	B.cell	Dendritic.cell	Macrophage	Neutrophil	NK.cell	T.cell	Basophil	Monocyte	P-value	Correlation	RMSE
Sim1	0.224031532892547	0.324617237678735	0	0.044153141417297	0	0.121337170379713	0	0.285860917631707	0	0.14505745677433	1.12292029495176
Sim2	0	0	0.505760339078406	0.0426868572416418	0	0	0	0.451552803679952	0	0.078472019868288	1.17092814093878
Sim3	0	0	0.309276779874825	0.281384592143084	0.297185829276188	0	0.112152798705904	0	0	0.148158572028897	1.16776038320598
Sim4	0.0139112144489031	0.19804177833595	0.195085048380704	0.139206998993223	0	0.167638256552476	0.286116703288744	0	0	0.265780974572422	1.06493821671271
Sim5	0.322933616130819	0.32893516995962	0	0	0	0.106322268236762	0	0.241808945672799	0	0.200903485085447	1.09512574358983
Sim6	0.0347041130804876	0	0.405836309027798	0.12678228838239	0.116459124501446	0.178229362571014	0	0.137988802436866	0	0.186864079235577	1.12485981183626
Sim7	0	0.264831576300322	0	0.0479830445872089	0.102932999750774	0.354300921186922	0.229951458174773	0	0	0.182714930386421	1.12813220142532
Sim8	0	0.352634063006459	0.155594884463215	0.00410673230157532	0.127147607589939	0	0	0.360516712638811	0	-0.0509084762462012	1.2254393471885
Sim9	0.137132089420241	0.193906681331323	0.388022959270149	0	0.216311953812457	0	0.0646263161658295	0	0	0.0159554346309743	1.23642374015351
Sim10	0.160160611488501	0.215274652605883	0	0	0.295966028070294	0	0.163145555209899	0.165453152625423	0	0.240893268210996	1.05541745952906
Sim11	0	0.243692747131309	0	0.160460367510438	0	0.265787462857306	0.138319680781435	0.191739741719512	0	0.214656574040234	1.08975893333246
Sim12	0	0.156388585074325	0.253941817226437	0.0538071107388558	0.0608581774502744	0	0.475004309510107	0	0	0.203338040218739	1.10334286333344
Sim13	0.0336129869839863	0.195712083204269	0	0.0402915222294217	0.292349852045951	0.240942280404999	0.196670115468278	0.000421159663095318	0	0.119768842526271	1.17757675964532
Sim14	0.308202656816346	0	0.212291744796323	0.089940973435482	0	0.191605641187212	0	0.197958983764637	0	0.195734659976501	1.10603459877867
Sim15	0.22423627794644	0.161457721466206	0.058205924309669	0.0879939217553201	0.201895630921053	0	0.266210523601311	0	0	0.169765981565901	1.10842741208286
Sim16	0	0	0.226565505882244	0	0.159251666387356	0.285264656245455	0	0.328918171484946	0	0.204905755714868	1.09252198942631
Sim17	0.15624520904804	0.192876778569938	0	0.0729267168920544	0.300873775717242	0	0	0.277077519772726	0	0.13899864046559	1.12730165147826
Sim18	0	0.0570379044440829	0	0.189420167298179	0	0.111306378324988	0.436210718543826	0.206024831388924	0	0.305263476087959	1.0627354595656
Sim19	0.191492147863551	0.137674714588996	0.163479279626242	0.0249632930756993	0.165886691789272	0	0.316503873056239	0	0	0.219558579079829	1.07180265403635
Sim20	0	0.0481127994820053	0	0.31865107504683	0.40242660495709	0.027049756864281	0	0.203759763649794	0	0.170352336464933	1.15682496544612
Sim21	0.147204270132041	0	0.128379638292066	0.0211980526011009	0	0.217800942932439	0.14341777691834	0.341999319124012	0	0.197926414812041	1.07992996144267
Sim22	0	0.0791707142207166	0.847354418075905	0	0.0305645296195646	0	0.0128442184231056	0.0300661196607082	0	0.250710941261849	1.10950991236085
Sim23	0	0.449260110108397	0	0.0291922005858268	0.35503790398236	0	0.0707765178747731	0.0957332674486433	0	0.183797147862711	1.13018470536497
Sim24	0	0	0.679019258982606	0.0205684023949526	0	0	0.300412338622442	0	0	0.239510037437646	1.08106553996929
Sim25	0.14311323620601	0	0.543933259776804	0.0872802763373065	0	0	0.174390961932992	0.0512822657468876	0	0.0926756109655171	1.17178848265587
Sim26	0	0.176417763492628	0.22996722376875	0.184896061466773	0.178708749894015	0.0236421456618941	0	0.206368055715941	0	0.0625011051006694	1.18667174970079
Sim27	0.49040119224145	0.142041584649063	0.357316908535473	0	0.0102403145740139	0	0	0	0	0.229573406137408	1.12747073785543
Sim28	0.173954523820258	0	0.511054699336955	0	0.025914256599479	0	0	0.289076520243307	0	0.216276494421206	1.08180318589505
Sim29	0.0851934329726484	0.117406363516627	0	0	0.0645695126105343	0.234557067585441	0	0.49827362331475	0	0.0412886572904092	1.17188592871003
Sim30	0.151796181288849	0.211839038999633	0.0399435156390271	0.0872826719429786	0.280376712695146	0.00907249996274373	0.219689379471622	0	0	0.195345126986486	1.10028966524549
Sim31	0	0.0351795777640937	0.115119163417263	0	0.107658148053665	0.134435559430898	0.195266528740603	0.412341022593477	0	0.15923314419717	1.1030408712112
Sim32	0.0872649264487597	0	0.134624888237702	0.0959761482426611	0.262142710307643	0.0580512985779554	0.0592357042228307	0.302704323962448	0	0.233376920525881	1.06259567853415
Sim33	0.231994055011728	0	0.313827513842701	0.178627625599533	0	0	0.275550805546038	0	0	0.157929451882691	1.13971787016088
Sim34	0	0.145789203275513	0.142162096447183	0	0.266232945227108	0	0	0.445815755050196	0	0.174496617836741	1.09599417693958
Sim35	0.11705189476946	0.174664508424139	0	0	0.223071085729563	0.31337303916122	0.171839471915618	0	0	0.24176438719692	1.09819261693112
