Mixture	B.cell	Dendritic.cell	Macrophage	NK.cell	T.cell	Basophil	Monocyte	Neutrophil	P-value	Correlation	RMSE
Sim1	0.133846470222505	0.0693742269653105	0	0.215823238158846	0	0.421281646600244	0.133901932440881	0.0257724856122127	0	0.283786151994426	1.03280630940019
Sim2	0	0	0.144728906439243	0	0.404835184636798	0.163631704699134	0.22110968836402	0.0656945158608049	0	0.0722597594695689	1.14116411837165
Sim3	0.142026892164295	0.17998705495	0	0.196676426684167	0	0.178793921989328	0.181459703385209	0.121056000827001	0	0.246595620724195	1.04343168485429
Sim4	0	0.245181284937671	0	0	0.591990717687293	0.0863254484944149	0.000592041501155827	0.0759105073794648	0	0.0607925486227973	1.21305232428814
Sim5	0	0.373183763337596	0.073096663224864	0.22506943187668	0.120198010066941	0.0748761333171674	0	0.133575998176751	0	0.0886243150230104	1.20788953045039
Sim6	0	0.367265733122531	0	0	0.329901677002069	0.252835111954725	0	0.0499974779206749	0	0.144836169806643	1.12908773029254
Sim7	0	0.154321440041986	0.0184008054171798	0.15026859815632	0.209584838734431	0.400975454186132	0.0664488634639515	0	0	0.178615286033369	1.0935285282514
Sim8	0.191921556017256	0.115266342441962	0.04040572394161	0	0.342007691976558	0.310398685622614	0	0	0	0.270429827658359	1.03902668437975
Sim9	0.053470403424865	0	0.0690823314446344	0	0.371310259234963	0.0774795538682151	0.428657452027323	0	0	0.0698279680764461	1.14324162902203
Sim10	0	0.0945684179924287	0.0361222745469875	0	0.761320807136982	0.0493131440253441	0.0586753562982577	0	0	0.257878771121295	1.09286102553612
Sim11	0.0586000881818692	0.208597762386971	0.0598029608684927	0.201817012905822	0.12008392053695	0.229350161102643	0.121748094017253	0	0	0.173415717029707	1.09538652326144
Sim12	0	0.253665470854277	0	0.402868408309195	0	0.343466120836527	0	0	0	0.0377526776264795	1.20457185240464
Sim13	0	0.588501115805618	0	0.0839774132467083	0	0.262152050768806	0.0653694201788675	0	0	0.132838777856512	1.14791816846725
Sim14	0.0159595112429096	0.203786614838135	0.176318582279352	0.299424331746258	0.0458104498509176	0.191492556918218	0.0672079531242109	0	0	0.169143767278309	1.12544076427174
Sim15	0.254752289180535	0.299159719447079	0.0208660258731937	0.290454263519405	0	0	0.126720481007867	0.00804722097192056	0	0.0896950488407394	1.21769332541768
Sim16	0.417585727505144	0.0340640885471892	0	0	0.335560890210607	0	0.21278929373706	0	0	0.0279879199335557	1.19738734983628
Sim17	0	0.071788481686025	0.0543200755305832	0.0235617003419429	0.2415545182407	0.608775224200749	0	0	0	0.353794922216303	1.01577459810051
Sim18	0	0.210391762396581	0.0519636586009821	0.0622142738283406	0.324880417406946	0.159878232304801	0.190671655462349	0	0	0.252597363917251	1.04286521747884
Sim19	0.310272387884697	0	0	0	0.380554008429234	0.0381601925202174	0.271013411165852	0	0	0.0591936620399332	1.15639528818238
Sim20	0.363679590943643	0	0	0.192581489757087	0.0103874610129096	0.305492833901967	0.127858624384393	0	0	0.283223093295971	1.02101325209719
Sim21	0.0970813987447167	0.127975767191746	0	0.327717189486681	0	0.267591611011845	0	0.179634033565012	0	0.123858022769124	1.1433577984174
Sim22	0.124628176631683	0	0.0801043066617548	0	0.568445914828524	0.128125073285244	0.0986965285927937	0	0	0.1784437916468	1.10467806550972
Sim23	0	0.190307818133551	0.0818362146691136	0.415317318578	0	0	0.0962420123119986	0.216296636307337	0	0.110706611758535	1.18207020887419
Sim24	0	0.13111011907456	0	0.484196963659454	0	0.300078450622854	0	0.0846144666431325	0	0.24355062686353	1.08080128501195
Sim25	0	0.101907808639269	0	0	0.486833744894921	0	0.191992060863026	0.219266385602783	0	0.0831999555071594	1.14353356197385
Sim26	0.261830374400487	0.034803701182447	0	0.091657464868135	0	0.454498031474262	0	0.15721042807467	0	0.367472142062832	0.994453393725657
Sim27	0	0.295286887865571	0.0778914927096313	0.111035839152862	0	0.400129802002231	0.115655978269705	0	0	0.191865581395945	1.09098441663443
Sim28	0	0.304003776173455	0	0.115972467121879	0.169078730266087	0.259556639474555	0.138625022886431	0.0127633640775943	0	0.256370992692272	1.04231122534887
Sim29	0.0519229683839622	0	0.117833628346116	0	0.649232135307029	0.132871011546307	0.0481402564165863	0	0	0.180700401293121	1.11711045558547
Sim30	0.0430999232885246	0.225103745050874	0	0	0.0892928788544127	0.159586393924765	0	0.482917058881423	0	0.15226483279022	1.14953271074626
Sim31	0.0345677542474363	0	0.0119562906545968	0	0.49055670691611	0	0.12708134490458	0.335837903277277	0	0.0510536208473723	1.17027964486542
Sim32	0	0.16486739199599	0	0	0.554072738026109	0.0862514203747342	0.194808449603167	0	0	-0.0607392658219642	1.23245980099159
Sim33	0	0	0.206101126520914	0	0.518977342882307	0.0718057523206689	0.20311577827611	0	0	0.0023151502810552	1.20048924512364
Sim34	0.160087729228956	0.0512314921353749	0.146619703535073	0	0.246998550887744	0	0.0553376375109945	0.339724886701858	0	0.0141853329061417	1.20256075575341
Sim35	0.11904719066321	0	0	0	0.426839107497649	0	0.0852593988373908	0.36885430300175	0	0.128871129378773	1.13128825904095
Sim36	0	0.285198504319671	0	0	0.345088249241057	0.2245118456176	0.145201400821672	0	0	0.0774177621378229	1.14675480056348
Sim37	0.16422256374925	0.231755939744692	0	0.0597700170761399	0.104631797206886	0	0.439619682223031	0	0	0.164946482790365	1.09509440582919
Sim38	0	0.0247261373857834	0.00996325659936932	0	0.676232737013668	0.28907786900118	0	0	0	0.234504628276658	1.069787844959
Sim39	0.415920990383049	0	0.125829914541742	0	0.138197995837702	0.276953657197272	0.0430974420402341	0	0	0.188204330088307	1.0832350569226
Sim40	0.274206494787855	0	0.0275832219885267	0	0.637432199790629	0.0266266475731337	0	0.0341514358598563	0	0.0851046750278639	1.22856684203066
Sim41	0.0329647677549881	0.380623786237075	0.154267488243152	0	0.197589413443435	0	0.23455454432135	0	0	0.183143211777596	1.11777990231464
Sim42	0.123186511955198	0	0.171584997289287	0	0.30592066022312	0.372313538739493	0	0.0269942917929028	0	0.116082518535928	1.13123963510731
Sim43	0.0176611457783161	0.277497447934308	0	0	0.280164403019027	0.0124313550779925	0	0.412245648190356	0	0.233709101347184	1.08228240325275
Sim44	0	0	0.0571843731337225	0.0822416684656064	0.509979365747262	0.132398680806703	0.218195911846707	0	0	0.105701878132159	1.12823927619253
Sim45	0.187894483515474	0.117492549438235	0	0.066386305017054	0.210713766372441	0	0.417512895656795	0	0	0.176505762940626	1.08482983647874
Sim46	0.241498082678462	0.0409483575140273	0.136017930092123	0	0.43318509188277	0	0	0.148350537832618	0	0.171556511239324	1.14474965716564
Sim47	0	0.204416673977214	0.0867685043140274	0.189651820056359	0.256136655776309	0	0	0.26302634587609	0	0.15707913552267	1.15441871887031
Sim48	0	0.413522106433784	0	0.280578679963527	0	0.193125587066984	0.0855649158580772	0.0272087106776285	0	0.166164868163462	1.12517120542785
Sim49	0.356101895725479	0	0.103188057405663	0	0.183662287741048	0.04707331594004	0.282263077943721	0.0277113652440502	0	0.242397595293665	1.04497897960946
Sim50	0.0855521546075021	0.225922378079493	0	0.114060573705512	0.360615718554996	0.0339558387859752	0.179893336266523	0	0	0.234363086363305	1.08143294444858
Sim51	0.0303556084320689	0.250781436353922	0.220018780194244	0.296408696069116	0	0.130606486760186	0	0.0718289921904639	0	0.11309788607259	1.1899740040213
Sim52	0	0.134557518388031	0.220392922188469	0.10623066997522	0.20842922137776	0.272289483323392	0.0581001847471293	0	0	0.150007345678243	1.11455070976152
Sim53	0.046676555320915	0.319423398185039	0.0501940549750801	0	0.300818624754431	0.197032158243903	0.0858552085206325	0	0	0.156512588911846	1.11398160176145
Sim54	0	0.19671055975051	0.183249244022719	0.224710900383988	0.178270834593802	0.0969094080958261	0.120149053153156	0	0	0.255893038267717	1.07361259831861
Sim55	0.400636364453344	0.0377325593406023	0.105075921429468	0	0.0751120036480093	0	0.169460330755495	0.211982820373081	0	0.245977057961525	1.0486638245191
Sim56	0	0.162939792927641	0.254560175144354	0.154644387730163	0.0969328870687316	0.185897778590662	0.134699053104143	0.0103259254343054	0	0.109137359969483	1.14201420893331
Sim57	0.333542551548701	0.00232209939765007	0	0	0.22308387741955	0.290178460390554	0.150873011243545	0	0	0.255692671807492	1.03787581877758
Sim58	0.258514828648782	0	0.0015352518141719	0.193884198512836	0.302670425596164	0.0900172013621882	0.153378094065859	0	0	0.0902374293811629	1.1628871252295
Sim59	0	0	0	0.116380690854249	0.370263628511055	0.0183618254131483	0.0212942224821583	0.47369963273939	0	0.166115648294909	1.12884330289824
Sim60	0	0	0.136116172332402	0	0.468659539638721	0	0.0829602172321344	0.312264070796742	0	0.0769495885262352	1.16318560483169
Sim61	0.413391117008785	0	0.0310298603867223	0	0	0.555579022604493	0	0	0	0.224037495650292	1.09222710027306
Sim62	0.453480014854041	0.0166234777125668	0	0.113983078718585	0	0.017649612417462	0.230985289803169	0.167278526494176	0	0.127838650984812	1.11389546573859
Sim63	0	0.129088651432463	0	0.395703383059812	0.21089002928816	0.230366335000988	0.0339516012185769	0	0	0.0887040620000843	1.18546952539956
Sim64	0	0.0235006328378839	0	0.215915146325912	0.40560226688971	0.354981953946494	0	0	0	0.0690584375211782	1.17113320566279
Sim65	0	0.205905964802245	0.333368291744374	0.22485985929875	0.0460750704167584	0.189790813737872	0	0	0	0.0471602720088733	1.22649677053795
Sim66	0.0964292892975393	0.103009251782927	0.122856253733441	0.102904442717596	0.216324763457301	0.226264371447899	0.132211627563297	0	0	0.0462899045987196	1.16102600125919
Sim67	0	0.029890700695782	0.222263787491242	0.156694883024872	0.366555658313248	0.161091610332053	0.0635033601428027	0	0	0.0649608326774645	1.18599238484941
Sim68	0	0.163357688280901	0.0892797598582168	0.143027843005535	0.242095714217883	0.0517702994419643	0.3104686951955	0	0	0.277289218734471	1.02938377179052
Sim69	0.145357885668664	0.000973215879432523	0.0107747451510257	0.232675441056091	0	0.157470591832911	0.337604327949522	0.115143792462354	0	0.133603935448692	1.11036366383311
Sim70	0.157693847797888	0	0.00564794699381496	0.161313284923455	0.268676638634429	0.255488824628954	0.151179457021459	0	0	0.162983532483376	1.09246640307908
Sim71	0.0474602846916065	0.222780062284461	0.186728072206949	0	0.270191097058001	0.153818268481772	0	0.11902221527721	0	0.234140504438657	1.07544276129427
Sim72	0	0	0.156697747620075	0	0.6391478276777	0.159573154193268	0	0.0445812705089569	0	0.187297254985727	1.11235426938284
Sim73	0.1624747220758	0.13703456250967	0	0	0.376539298186088	0.179229430604305	0.144721986624137	0	0	0.0476560342293968	1.16137780971425
Sim74	0.129894620883527	0	0.259777050772288	0	0.268257137878574	0.270258513817798	0.071812676647813	0	0	0.161148650924824	1.10175795729585
Sim75	0	0.126678641147216	0	0.0310933843265472	0.481545724942275	0	0.0693426814415918	0.291339568142371	0	0.165555540511468	1.11506163165327
Sim76	0	0	0.22236601830507	0	0.564160795579443	0.160495536635177	0.0529776494803107	0	0	0.247380170259431	1.06691979963584
Sim77	0	0.222579174875734	0.0885761434082207	0	0.479630665670034	0.0874034482152056	0	0.121810567830806	0	0.278294005614221	1.05842007571435
Sim78	0	0	0.309739934054852	0.0610607502213182	0	0.312005353508034	0.183845621379695	0.133348340836101	0	0.268155487312054	1.06058804133754
Sim79	0.307505587747554	0	0.0334162674113462	0.199573883212831	0	0.459504261628269	0	0	0	-0.0543391334903295	1.2333593028575
Sim80	0	0.116332353147249	0	0.0423492386956827	0.679862856563813	0	0.07268185699895	0.0887736945943049	0	0.291183781469599	1.06310142452436
Sim81	0.42174679648376	0	0	0	0.119832561327864	0	0.195893054127838	0.262527588060538	0	0.103837397831438	1.13017357485111
Sim82	0.557158695119107	0.173646931091039	0	0	0	0	0.0160764451298001	0.253117928660054	0	0.248274009299248	1.07528104870966
Sim83	0.150164589713741	0.164419023713876	0.161315990308766	0.352477518708553	0	0	0	0.171622877555065	0	0.210013587643003	1.15018339336969
Sim84	0	0.0928728239668691	0	0	0.545100381912598	0.0614289287666495	0.300597865353884	0	0	0.229147564834503	1.05620106467072
Sim85	0.16121354229925	0.0602541197471132	0.272546714215027	0	0.070415790912792	0.285393234619349	0	0.150176598206469	0	0.247490425926531	1.05936681140289
