Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	Basophil	NK.cell	T.cell	P-value	Correlation	RMSE
Sim1	0.18534394498622	0.415831938092656	0	0.22461062489867	0	0.114043392684211	0.060170099338242	0	0	0.199521205169975	1.12079610407865
Sim2	0.127186298474024	0.336728455289876	0	0.20043782951537	0	0.0602124045304872	0.196142141804817	0.0792928703854255	0	0.132776808832987	1.11366758898092
Sim3	0.154286539357756	0	0.154826421269977	0.314122612239888	0	0.0435809245956296	0.112046137854145	0.221137364682604	0	0.236716939728226	1.03565569361091
Sim4	0.021657270357088	0.238574831157105	0	0	0.0442615437147257	0.397591010652433	0.297915344118648	0	0	0.273159218219378	1.04440799816062
Sim5	0.152653559889006	0.193848737795714	0.100073258885736	0	0.0307807638587009	0.267888820720863	0.205441661172155	0.0493131976778251	0	-0.044009888415993	1.21387108549266
Sim6	0	0.454005024343705	0.180780793216596	0	0.0544918680600794	0	0.31072231437962	0	0	0.267702947927764	1.04678560602274
Sim7	0.0584508292060204	0.118995605706953	0.095713271558588	0	0	0.617734636463469	0	0.10910565706497	0	0.349186903680035	1.03419187759113
Sim8	0.111697459349987	0.102551803590751	0.237133170630782	0.235584384951652	0	0	0.313033181476828	0	0	0.114809300930037	1.11885019197639
Sim9	0	0.284617928252405	0	0.221760020991079	0.277111414278066	0	0.21651063647845	0	0	0.0715682074372472	1.15148102572396
Sim10	0.21411937698845	0.365890967448088	0	0	0	0.315523561158012	0.10446609440545	0	0	0.141112346069615	1.1424321637874
Sim11	0	0.163549481055413	0.220417355920982	0.0443843061031399	0	0.314271496319308	0.016222637207472	0.241154723393685	0	0.288548722720647	1.02050311470644
Sim12	0	0.160338483304577	0.424197600330213	0	0	0.0648286214528427	0.350635294912368	0	0	0.212641002369227	1.07919014580752
Sim13	0.0473296688771138	0.267511382763464	0.0844965584075269	0.00237445646958171	0.00336205785282109	0.297492683938326	0	0.297433191691166	0	0.183310545581847	1.07834750435427
Sim14	0	0.304029731244968	0	0.088722592446358	0.253334135723568	0.255301057123499	0	0.098612483461607	0	0.30693408763664	1.04422287233162
Sim15	0	0	0.387275303820394	0	0	0.293952197131719	0.173773172424068	0.144999326623819	0	0.268218452734527	1.05206774067156
Sim16	0	0	0.22740850644688	0.0650058225162431	0.208747423970191	0.0894785741233402	0	0.409359672943346	0	0.217905193561838	1.05999899483315
Sim17	0	0.0338973981202693	0.402922632790149	0	0	0.189473161260808	0.197015772548279	0.176691035280495	0	0.179157835354523	1.09494686810749
Sim18	0.0779203796182901	0.0690825717150385	0	0.292072805178618	0.362515106503779	0	0.069011798685373	0.129397338298901	0	0.148118263886688	1.11085109240979
Sim19	0.0954997683770658	0	0.206254599899351	0.0992098188356502	0.250646631347876	0	0.0275045715167645	0.320884610023293	0	0.0595713905921201	1.14257569391694
Sim20	0	0	0.205573069395734	0.311702170768357	0	0.416408820878117	0	0.0663159389577928	0	0.228146412270256	1.11599462611169
Sim21	0.387893690921005	0	0.0799334973195055	0.280937786035459	0.0520521639677659	0.042823355232467	0.156359506523798	0	0	0.0581698616519296	1.16587627188555
Sim22	0.152909627578974	0	0.106258565856438	0.373816038421256	0.0736004901654006	0	0.184131367380558	0.109283910597373	0	0.317918628006005	0.991358724282028
Sim23	0.148485345071722	0.191450402810657	0.304417974711524	0	0.0952819070023402	0	0.173969040049194	0.0863953303545618	0	0.0876934128791758	1.13396845968824
Sim24	0	0.0671645761461918	0	0.484718047209617	0	0.183170594498495	0.264946782145697	0	0	0.176190004100318	1.09654654063425
Sim25	0.0964360877394134	0.304228600231096	0	0.170027616126781	0.0762790477206579	0.0713362711443885	0	0.281692377037664	0	0.194535820050024	1.06478750400827
Sim26	0.389164999226787	0	0	0.0608439611445861	0.231100595751366	0.160331375205026	0.158559068672236	0	0	0.19504341198118	1.1057706840676
Sim27	0	0.027613809127963	0.250675029311113	0.0117788330077762	0.242877428518428	0.0877845700611224	0	0.379270329973597	0	0.0631848023475245	1.1547097786904
Sim28	0.114235535895336	0.158476429762809	0.16431465901021	0.11385555567954	0	0	0.449117819652105	0	0	0.229344208790565	1.06535535160454
Sim29	0.232671973197338	0.464571430101506	0	0.265826710588936	0.0332999768089718	0	0	0.00362990930324833	0	0.0387557762977958	1.24251222002451
Sim30	0.0765369634505783	0.0788023888232892	0.0306907585539231	0	0.0837775711515665	0.301691735664195	0	0.428500582356448	0	0.0927214840948051	1.13276255665727
Sim31	0	0.155412265501206	0.102467685749327	0.118572860141824	0.0777591423423535	0.231373454271105	0.314414591994186	0	0	0.020457500634922	1.17702393296935
Sim32	0.271934373215351	0.107684910143472	0.348656618562487	0.0644887444063218	0	0	0.207235353672368	0	0	0.108315199284656	1.13423257175073
Sim33	0	0.209613354367186	0	0.0904885972908694	0.377990726809108	0.135852427875469	0	0.186054893657368	0	-0.0795015839569792	1.26409944623687
Sim34	0.192679483010098	0.124421668750365	0	0.30050324834302	0	0.180849367446715	0.201546232449801	0	0	-0.058854309030668	1.21873972241644
Sim35	0.255180507830927	0.0621905679983525	0	0.198624099947206	0	0.16888377668568	0.315121047537835	0	0	0.0889241679828323	1.13530576512545
Sim36	0	0	0.0466210464752849	0.140525890395372	0.132903699084036	0.0317660007997732	0.0204971754382947	0.627686187807239	0	0.119320925914043	1.12215309093013
Sim37	0.213162390756288	0.565349809480504	0.180746334853037	0	0	0	0.0245833300135713	0.0161581348965997	0	0.216316865430998	1.1308839846554
Sim38	0.237057576840288	0.0307648388758298	0	0.177930481061558	0.17518833817691	0.203953456507388	0.175105308538027	0	0	0.307351199690318	1.01794661648858
Sim39	0.121424387823052	0.187408321182398	0.432364711492381	0	0.0247687682067009	0	0.234033811295468	0	0	0.164171826667553	1.10541165833066
Sim40	0	0	0.331838747441343	0	0.142418198845202	0	0.202127753045129	0.323615300668327	0	-0.0175369487836754	1.2027755781296
Sim41	0.0308965797492513	0	0.295848947839106	0	0.26277715071986	0	0.00678797770630169	0.403689343985481	0	0.15499593335081	1.1036691456757
Sim42	0	0	0.153655420505269	0.174851811682555	0.180144436142001	0	0.307395696329482	0.183952635340692	0	0.0362539557717344	1.16081783094381
Sim43	0.0568465328922908	0	0.400290164438448	0.0841519305326657	0.061197844065986	0	0.047882030431557	0.349631497639053	0	0.327419376795317	0.989867597224182
Sim44	0	0	0.265709264830192	0	0.0449030648560489	0.293483041967683	0	0.395904628346075	0	0.116075038435857	1.12966415101718
Sim45	0.262177530873164	0	0.115825016632637	0.160566116850919	0.122224907573603	0.0291382174367033	0.121439117833746	0.188629092799227	0	0.0445364614289931	1.14465242858922
Sim46	0.0101552833251448	0.16596403770514	0.29601864620785	0	0.129062234510482	0	0	0.398799798251383	0	0.103672675675939	1.11172732918734
Sim47	0.141253859213336	0	0.131695345341417	0	0.180317976137754	0.017393290972232	0.0950043606040413	0.43433516773122	0	0.16254717744192	1.09525777438094
Sim48	0.376714357712613	0.143099291951204	0	0	0.287573988629243	0.0946434642168168	0	0.0979688974901234	0	0.163278937213043	1.12869707295097
Sim49	0.0495901475148859	0.231139189596442	0	0.262733686581873	0.0228635735193846	0.225065495331636	0.162320520406475	0.0462873870493032	0	0.236346109693814	1.05495954599411
Sim50	0	0.598789826071713	0	0.0906798341510503	0.0317542965956887	0.200278901177433	0.0784971420041146	0	0	0.283442063963885	1.08734938714843
Sim51	0.216428834381692	0.157875265014637	0	0.331163336628157	0.0260527133273607	0.202335365148872	0.0661444854992807	0	0	0.067782322078085	1.18179215165812
Sim52	0.0105891260293917	0.0396877911627877	0.0563708474257311	0	0.0175492551478335	0.667144507699878	0	0.208658472534378	0	0.254137024943004	1.1039424528501
Sim53	0.0392038146247949	0.277364833316492	0.264841663001208	0	0	0.105107235330443	0.00850848301625977	0.304973970710803	0	-0.0212536012883939	1.18388848079349
Sim54	0.0342347062553513	0	0.299807027455583	0	0.234011686256255	0	0.431946580032811	0	0	0.0571593068893489	1.18855956805995
Sim55	0.0609473402552926	0.271406204861012	0	0	0.434618673958127	0.0326640796058411	0	0.200363701319727	0	0.307016216139586	1.0247754308185
Sim56	0	0.260771183990579	0.131019366277513	0.217742853682183	0	0.148141526605336	0.127260397921463	0.115064671522926	0	0.261252217327245	1.03399704597063
Sim57	0.274006454260224	0.18115809917908	0.201835557761112	0	0	0.282492841946907	0.0605070468526774	0	0	0.123672981867548	1.15594716744314
Sim58	0.298726159355206	0	0.15508562139105	0.100742079014414	0	0.361693416979579	0.00654612416533987	0.0772065990944119	0	0.0637707414942648	1.1975262736973
Sim59	0.146969634538181	0	0.212771204759411	0.1345473957261	0.0811563847942215	0.289583553657864	0.119395876659074	0.0155759498651474	0	0.132844521959124	1.14575243106953
Sim60	0.164857559606996	0.320196368959419	0	0.0459368257823071	0.0314877590754581	0.150522596572315	0.285560623367208	0.00143826663629632	0	0.242918325045079	1.05044984845305
Sim61	0	0.342522325899422	0.103203650942024	0	0	0.29480610492527	0.080406147259447	0.179061770973838	0	0.253892699961859	1.04473742561299
Sim62	0	0.110562767693903	0.241160088260474	0.0382230926058251	0	0.126598945463434	0.182439436880708	0.301015669095657	0	0.125690629844127	1.10788385894426
Sim63	0	0	0	0.00995582954841463	0.619259748313415	0.0617020978866825	0.139436688252734	0.169645635998754	0	0.0652796235763641	1.23482855906948
Sim64	0	0	0	0.493714630929989	0.0930671261993733	0.12222936146314	0.18008323057942	0.110905650828077	0	0.185358412153472	1.08120464921637
Sim65	0.224899137392829	0.337144520000488	0.242924228422901	0	0	0.0971829903244875	0	0.0978491238592946	0	0.236472016271285	1.07346419642547
Sim66	0.0215963453843731	0.20913375549568	0.0492432167504908	0	0.111400263862822	0.324947126067427	0	0.283679292439207	0	0.255215649793938	1.04345019192009
Sim67	0	0.245677909744315	0.273145967085503	0.345252008443214	0	0.0957826627355503	0	0.0401414519914175	0	0.261785816924986	1.08622992647174
Sim68	0	0.114587006432247	0	0.289725572267837	0	0.274825807860063	0	0.320861613439852	0	0.139301813872109	1.09600736597209
Sim69	0.0900371469560362	0.288092708565784	0	0	0	0.235794523097577	0.386075621380603	0	0	0.194543590526373	1.08811285650801
Sim70	0.0562898675951084	0	0.29801110007206	0	0.262798520035265	0	0	0.382900512297566	0	0.22918982526698	1.06058026865749
Sim71	0.0532548747621791	0.306524782135531	0	0.231426831220223	0.0423335741408947	0.308919917467072	0.0575400202741003	0	0	0.159696721103346	1.14297350455494
Sim72	0.167097151284951	0.0980841168985341	0	0.366812269275622	0.116702189976812	0.0978772010511793	0.153427071512902	0	0	0.0563578182403564	1.16428509099551
Sim73	0.0439073409130498	0.216230596736704	0.0818248064058078	0	0	0.488947257907572	0.169089998036866	0	0	0.319405834575836	1.02798974057419
Sim74	0	0.228563302200488	0	0.0652248116597774	0.404498574757651	0	0.142526746443041	0.159186564939042	0	0.265295772491976	1.0346438387174
Sim75	0.214961411487015	0.13953980022397	0	0.144115403374901	0.183450802838349	0.106068721480177	0	0.211863860595588	0	0.232290715859645	1.04721295311005
Sim76	0.0841830477857203	0.186594155198422	0.246248241282502	0	0.168961157527171	0.0828777551786258	0.231135643027559	0	0	0.284146927734406	1.02814570336095
Sim77	0.233952333902432	0.0129406523111028	0	0	0.56218395099773	0	0.0165861462815858	0.17433691650715	0	0.273066576371234	1.08172196060152
Sim78	0.0469545695145861	0.0589134008328307	0	0.125995132821727	0.128747546715553	0.425351374988178	0	0.214037975127125	0	0.309725880545453	1.02796515020159
Sim79	0.203189775713654	0.0365539523075567	0	0.183961395149056	0.31984059846999	0	0	0.256454278359743	0	0.164800800190854	1.08674680522332
Sim80	0.387377503682863	0.142055600918212	0	0	0.0204016462382224	0.255668382499926	0	0.194496866660776	0	0.124891148661338	1.12838675160777
Sim81	0.291600398181345	0	0.0546300602888265	0.282769110372921	0	0.247458149567699	0.123542281589208	0	0	0.26804077934513	1.04844850383455
Sim82	0	0.31733814190464	0.00803698331821283	0	0.0154056295913569	0.263591640848673	0.395627604337117	0	0	0.261731995259023	1.04891877083007
Sim83	0	0.119286160185985	0.0288212262613409	0	0.341400248329655	0.121124774759586	0.38543515709095	0.0039324333724831	0	0.0489835023239684	1.18934142728049
Sim84	0.0365004982832691	0.0626293690103937	0.358786358268237	0	0.0112472578036554	0.399586573851375	0	0.13124994278307	0	0.245273381913539	1.09162971245214
Sim85	0.112490551511679	0	0.208303670961392	0.00268862638022475	0.0685017840963184	0.364233585920028	0	0.243781781130357	0	0.130308701505254	1.1395521183896
Sim86	0.203776182896268	0.104003109964885	0.606235389346343	0	0	0.0738242086829673	0.0121611091095368	0	0	0.207779663613907	1.13500934914769
Sim87	0	0.241978206246415	0	0.201737281793055	0.0226808159731381	0.144955723061174	0.253582248038114	0.135065724888104	0	0.0823410058005853	1.12913697895938
Sim88	0.0522346969947834	0.257243355864583	0	0	0.0619043901988008	0.370899607779822	0.257717949162011	0	0	0.137734455872803	1.12811205944181
Sim89	0.00145497164628577	0.23986798870331	0.0886349207724223	0	0	0.298461830523129	0	0.371580288354853	0	-0.0698460912908798	1.21269321295347
Sim90	0.0742051438903624	0	0	0.208546404338071	0.319956975651584	0	0.143260616923144	0.254030859196839	0	0.225770828259303	1.04678264048783
Sim91	0.0578939597780575	0.0236114295307565	0.00453144753224065	0.186577042334675	0.208388560319369	0.00649743295387381	0	0.512500127551028	0	0.258624642599103	1.02106313146008
Sim92	0	0.114200701464594	0.264132436489478	0	0.0231964366202633	0.284447913746165	0.135432798501271	0.178589713178229	0	0.208934823049513	1.07168401431611
Sim93	0	0	0	0.186920269497822	0.308229431829982	0.135154092035581	0.0232476133040449	0.346448593332569	0	-0.00709567356734264	1.18812048318521
Sim94	0.114738023412538	0.0702178905710302	0.0658323569821264	0.157469839860025	0	0.553294523829461	0.0230398738934511	0.0154074914513692	0	0.311761710573896	1.06502574897451
