Mixture	B.cell	Dendritic.cell	Macrophage	T.cell	Basophil	Monocyte	Neutrophil	NK.cell	P-value	Correlation	RMSE
Sim1	0	0.0644765732156133	0.0882849223077712	0.532027787522893	0	0	0.303647583778647	0.0115631331750756	0	-0.00290602981178894	1.28559140736713
Sim2	0.0943820302319833	0	0	0.173075046712289	0.421069381325151	0.123941683350418	0	0.187531858380158	0	0.0156543640162211	1.19598310602078
Sim3	0.34531493660304	0	0	0.163299603445542	0.0264459419308553	0.464939518020563	0	0	0	0.227715281519277	1.0566159604287
Sim4	0.138552047664845	0.306708951786057	0.194403899185704	0	0.244725832326586	0	0	0.115609269036808	0	0.118028397210967	1.13444424791027
Sim5	0.259458080384872	0	0.204884610790711	0.276415632098687	0.0306960322623543	0.0607228854328304	0.167822759030546	0	0	0.0322053948472211	1.19105641453832
Sim6	0	0.301176784455136	0	0	0.53292748991912	0	0	0.165895725625744	0	0.265898882928945	1.06883267448845
Sim7	0.0388981049265405	0.0410341901878477	0.114082170281961	0.337194932825578	0.270186173331605	0.173400596838862	0	0.0252038316076051	0	0.164616827087083	1.10251408830937
Sim8	0.100026686187526	0.174937401014198	0.0371002812361485	0	0	0.322783904710961	0.252325276609854	0.112826450241312	0	0.0925665377892479	1.14506541504831
Sim9	0.642206823187326	0	0.0990346700554963	0	0.105177744491526	0.115239882553085	0	0.0383408797125667	0	0.0409254114622532	1.17139553135229
Sim10	0	0.268022900216951	0	0.173476885800833	0.123747531049048	0	0.268805512801122	0.165947170132046	0	0.271403387644546	1.06329095006181
Sim11	0.142729075640109	0.21125810072078	0	0.357642751293896	0	0.191003815277825	0.0700110403247029	0.0273552167426861	0	0.197139882349394	1.11074816012128
Sim12	0.140508183140287	0.0313696074487121	0.00600922966849573	0.257265075872637	0.206612987370189	0.246179924027805	0	0.112054992471875	0	0.16811381393235	1.09123397717423
Sim13	0.255087240630182	0.262446324311639	0.00272447124626057	0.0535527301854223	0.0619295566548593	0	0.355868899455035	0.00839077751660296	0	0.110401866936786	1.14149709185
Sim14	0.211337859391894	0.364110272045802	0.0664781474860948	0	0.172828307085648	0	0.00344123252068338	0.181804181469878	0	0.25030642669691	1.06360462759178
Sim15	0.173418850598712	0.0266521150382556	0	0.39684314205976	0.0973392931251732	0.300230164171612	0.00551643500648656	0	0	0.0400654908470276	1.17793536588179
Sim16	0	0.309574824003955	0	0.308069055940902	0.198851007852187	0.158459131446279	0	0.0250459807566778	0	0.130011881843075	1.14353445320051
Sim17	0.0861780073063849	0	0.282807979397588	0.127857243918779	0.193596571117178	0.131520513635281	0	0.178039684624789	0	0.0395320887167488	1.17026842893337
Sim18	0.572541298718313	0	0.0680961781139162	0.0231240565924448	0.115863073721281	0.182465710004077	0	0.037909682849968	0	0.223776637034328	1.06051349282079
Sim19	0.0607183392012056	0.179289395564013	0	0.309057844485325	0	0.243098607285302	0.207835813464154	0	0	0.0866118616939946	1.15405055693373
Sim20	0	0.156569155640437	0.133491193611607	0.119447027053752	0.153913627574634	0.287669294320469	0.120850621643614	0.0280590801554868	0	0.142058597663441	1.11302632642368
Sim21	0.329747677241722	0.213189357517279	0	0	0.219189587439518	0.041836997440772	0	0.196036380360709	0	0.0979857108359944	1.13802753398752
Sim22	0.0804794552043713	0.0971700262596295	0.025446249274609	0.142561433849786	0.332225767611283	0	0	0.322117067800321	0	0.139986599876989	1.13797550630569
Sim23	0	0.082433525809485	0.157405323038551	0.105769853469621	0.222639312859653	0.229271174465561	0	0.202480810357128	0	0.189606308164024	1.08281178840898
Sim24	0.360370126468342	0	0.0611288087717669	0	0	0	0.508622953139541	0.069878111620351	0	0.242101732306568	1.07151765964366
Sim25	0.0498345636077002	0	0.242104049836382	0.130340667183176	0.132287403830781	0.301692177690194	0	0.143741137851766	0	0.265110757900057	1.03234498584997
Sim26	0.0251758348787954	0.0723604996388965	0.232488918745217	0.163459405606364	0	0.138237819879777	0.230247378479022	0.138030142771929	0	0.0649424124360309	1.17366174436183
Sim27	0	0.0114751839047018	0.255503449970677	0.254071508548252	0.388996119964556	0	0	0.0899537376118134	0	0.121456154028943	1.14276429788597
Sim28	0	0.243197064884533	0.047483631605272	0.328434823436073	0.328958616473747	0	0.0519258636003752	0	0	0.141279032196112	1.13963194313141
Sim29	0	0	0.304359129822831	0.307104093417518	0.0184979590169329	0.169743245143333	0.0603214229023301	0.139974149697055	0	0.178111953952812	1.12644389052956
Sim30	0	0.128689808707002	0	0.0768248383466616	0.475486352726315	0.0404006847420952	0	0.278598315477927	0	0.0933567501277989	1.17152430837264
Sim31	0.619918149187181	0.0771362653779903	0.0711113539767664	0	0	0.142321010404278	0.0895132210537839	0	0	0.192077584782455	1.08923945385375
Sim32	0.0818557440512768	0.255862779192683	0.321237928920509	0	0.152955478622314	0.034130040487625	0	0.153958028725592	0	0.143388176693186	1.12768510240312
Sim33	0.225466197181779	0.0582667932205647	0.163731916241831	0.134448460629722	0.400269219408658	0	0.0178174133174446	0	0	0.221001221608748	1.0638679193457
Sim34	0	0.28072012357716	0.233478330355947	0.104278962461377	0	0.0974667566940567	0.228681601476961	0.0553742254344986	0	0.195441171183667	1.1015687231994
Sim35	0.214580293908557	0.122493571768646	0	0.0438903226879636	0.144941477274173	0.269552294864462	0	0.204542039496198	0	0.033258010428821	1.162487921831
Sim36	0.134013308284125	0.205198412551575	0	0.285604354083862	0.0292606236950074	0.202486644609291	0	0.14343665677614	0	0.268290966033899	1.06225128205397
Sim37	0	0.112933764941495	0.112298131881296	0.12527786279863	0.327214126340558	0	0	0.322276114038021	0	0.106076789382914	1.16059934421773
Sim38	0.0875213307380451	0.161091160095937	0.150287435618132	0	0.232569132674097	0.13853884265106	0	0.22999209822273	0	0.125566659559762	1.11802422127165
Sim39	0	0.00611292787112197	0.0695106865686407	0.40547884882028	0	0.223291076101457	0.190109897424616	0.105496563213884	0	0.271582563766252	1.05875793543077
Sim40	0	0.160611390236739	0.169322255703986	0.246619683466369	0.112866593447531	0	0.0200896258056573	0.290490451339718	0	0.134482715667381	1.1806160305173
Sim41	0	0.144131631381386	0.103454759383524	0.357588253054009	0	0	0.379412851839089	0.0154125043419927	0	0.0991892004808762	1.18717571117558
Sim42	0	0.435456345449032	0	0.177221833048972	0	0	0.357613562012468	0.0297082594895287	0	0.204953888030547	1.11983627122857
Sim43	0.097885455319794	0.0132725941926499	0.207166964751739	0.287783753377795	0	0.207236257686464	0.0668996795078856	0.119755295163671	0	0.219427458206673	1.08314850953149
Sim44	0.251603931984704	0	0.188972844860889	0.0420996166848971	0.24833197848971	0.2689916279798	0	0	0	0.195635727120283	1.07041258117735
Sim45	0.255469183926495	0	0	0	0.528049661791231	0.216481154282274	0	0	0	0.274852914227761	1.06963133808881
Sim46	0.336005722110422	0.0747543990953388	0	0	0.347365420991062	0.0435590317921068	0.0841068544923409	0.11420857151873	0	0.138592702559425	1.11253434629519
