Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim1	0.0371773413584615	0	0	0	0	0.107894031498533	0.467419585057208	0.387509042085797	0	0.3161841359094	1.00882484456608
Sim2	0.0812928554010911	0.150593428154399	0	0.188983053519934	0.253455927291315	0	0.139100257584188	0.186574478049073	0	0.0901318302587467	1.19229416764813
Sim3	0.0891512601864033	0.0157872972786988	0	0.0604438155166026	0.0129764647702249	0.296820573313846	0.151411214379376	0.373409374554849	0	0.18251640756109	1.1053861400114
Sim4	0.265587712557243	0	0.227023803082197	0	0.186804556872177	0.196225690025753	0.124358237462629	0	0	0.222001602857783	1.12585916223549
Sim5	0	0.246996264852415	0	0.127904398126141	0	0	0.389172866443845	0.235926470577599	0	0.19417436414054	1.09498219948094
Sim6	0	0.215940009663279	0.0798817491616733	0	0.169994226170842	0.191213323514151	0.212643390516616	0.130327300973438	0	0.180908724831977	1.12585654556369
Sim7	0	0.304450436179511	0	0.0122627599254656	0.1181745324587	0.0530891379775358	0.12887894294382	0.383144190514968	0	0.324898828626176	1.01253149720987
Sim8	0	0.0578260490700948	0.301145403392219	0.145163582603936	0	0.121944196288339	0.28544243720237	0.0884783314430413	0	-0.0189035431419	1.26437284342368
Sim9	0	0.0393093366909399	0	0	0.236373291702245	0.366903124802124	0.357414246804691	0	0	-0.0436966252454967	1.33241294705236
Sim10	0.153135779172872	0.462948287312815	0.0532113719239483	0	0.0818587878002036	0.234185826190044	0	0.0146599476001167	0	0.15983726067101	1.17915560485694
Sim11	0	0.00284064823834576	0.0838080168477174	0	0	0.166193484962603	0.137187317755806	0.609970532195527	0	0.361091953332295	0.994000585804815
Sim12	0.200454967202711	0.126827840557941	0.105708226449687	0.393174566096675	0.105587099881678	0	0.0130752388914072	0.0551720609199002	0	0.173258659824245	1.16022649591868
Sim13	0.0485703397650643	0.129221908894908	0.0811978058122752	0	0	0	0.204877888805201	0.536132056722551	0	0.350031682023815	0.987691497073633
Sim14	0	0.245959777353786	0.195613299033223	0.125587495358105	0.253325399933091	0.0565715994003942	0.122942428921401	0	0	0.212703925862716	1.13283814224389
Sim15	0.136821490587991	0.00177142985287482	0	0.0642685762374137	0.105829418807767	0.202022845384764	0.299828754229662	0.189457484899528	0	0.138859187735352	1.14680068202237
Sim16	0	0.104466411910929	0.0838393349193958	0.22560851279661	0.190344536285976	0.147241267109315	0	0.248499936977774	0	0.291511080950254	1.05585134425539
Sim17	0	0.36831035009898	0	0.0912532047629068	0	0.175158196830191	0.109536807734434	0.255741440573488	0	0.24450179060919	1.06719667260328
Sim18	0	0.38651494806622	0.174643915330665	0.0959133570909358	0	0.0577188780608808	0.247476850942388	0.037732050508911	0	-0.00400286849856089	1.26959319203326
Sim19	0.274698391724452	0.237239755657896	0.144231237297335	0	0	0.15327400663843	0	0.190556608681886	0	0.0432488518380788	1.19696531760642
Sim20	0.242199238281583	0.207298325374724	0	0.0936961594559339	0.173894495647578	0.0265695428462782	0	0.256342238393902	0	0.29074740490056	1.04460795342181
Sim21	0.164916961074443	0.0840489508748047	0.155148808064963	0.15957892210382	0.147374632844133	0.0757864999439228	0.0869249233021314	0.126220301791783	0	0.0889105685715518	1.18317164315917
