Mixture	B.cell	Dendritic.cell	Eosinophils	Macrophage	Mast.cell	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim1	0.0668975422025288	0	0.0776466183268704	0	0	0.248829928444477	0.422429259413226	0.179580880329153	0.00461577128374484	0	0	0.2457251052633	1.12050555494985
Sim2	0.0457438778209924	0.0976523215051182	0.321861802649773	0.0597419176846394	0.131500338539625	0	0	0	0.176969663100472	0.166530078699379	0	0.150773396253254	1.16764046071671
Sim3	0.0176293744869895	0.157669368037058	0.364221773961294	0	0.133680693191324	0.123515841336926	0	0	0.123887514437391	0.0793954345490178	0	0.437536379918563	0.960263948896453
Sim4	0	0	0	0.276876102654874	0	0.357796171007912	0	0.0356594808903254	0.286481475878675	0.0431867695682143	0	0.317127857169669	1.05579701344779
Sim5	0	0.0152785738565796	0.15537648459303	0.1563227303611	0	0.369046567346611	0.0615523185492146	0.0612404219768928	0.0639659459589246	0.117216957357648	0	0.232563447143021	1.11465971083466
Sim6	0	0	0.0179203583855177	0	0.0942512840480011	0.447312283049182	0	0	0.180645730307801	0.259870344209498	0	0.0610189260178953	1.23814167833525
Sim7	0	0.0465667441838872	0	0.549397964578241	0	0	0.299470630114211	0.0693522401977379	0.0352124209259232	0	0	0.0379394937719022	1.27299164792357
Sim8	0.0894438668445961	0	0.462150732650504	0.0416262903581227	0.051805361584366	0.0262509570610261	0.256264163855353	0.0724586276460322	0	0	0	0.342814615955421	1.04876006347322
Sim9	0	0.0683094052942072	0.135964967029772	0.408426794736738	0	0	0.317415540301761	0.0683124559942988	0	0.00157083664322249	0	0.312660706613889	1.07464178501846
Sim10	0.0932985766827519	0.10866523338456	0	0.393408326751532	0.0669674780864	0	0	0	0.0819227650558969	0.255737620038859	0	0.401002759794324	1.00477420273916
Sim11	0.0828870390870271	0.0765685368615936	0.236602364539693	0	0.0205472797119971	0.121475883761425	0	0.177099021707414	0	0.284819874330851	0	0.147927361612055	1.17695156514316
Sim12	0.0986613892401656	0	0.206307697258714	0	0	0	0.379962470296016	0	0.237000181276203	0.0780682619289004	0	0.270531888462824	1.10993880434743
Sim13	0.0558864706426597	0.19782856415326	0	0.423115622439895	0.111868882346275	0	0	0.0409000394920164	0.0552470078102742	0.115153413115619	0	0.321718560195058	1.05467222165958
Sim14	0.187754771281311	0	0.173158422378746	0	0.109613584030453	0	0	0.053115532089097	0.122122295027474	0.354235395192919	0	0.242259424774169	1.11679932828787
Sim15	0.288275849445897	0	0.152707289702431	0	0.124892371984189	0	0.22959913500991	0.0797517783265411	0.124773575531032	0	0	0.213175317595852	1.12464965346319
Sim16	0	0.154214256763486	0.174442695052715	0.221854685346398	0.00263174143182679	0	0.18834546459536	0.0428930817352949	0.118771920027384	0.0968461550475359	0	0.250017400520395	1.1110244300438
Sim17	0	0	0	0	0.262957739236352	0.36199871532639	0.102588359963091	0.00525263245195327	0.267202553022213	0	0	0.184730426201322	1.14799098266414
Sim18	0	0	0	0.364487931129026	0.0751007966375305	0.0306611538207856	0	0	0.273504611876278	0.25624550653638	0	0.328992148085023	1.05818822732336
Sim19	0	0	0.161877698155211	0.597298995821021	0	0	0.0101318311017956	0.064204149773175	0.05635155966824	0.110135765480558	0	0.0611729161530393	1.23408493920004
Sim20	0.185010118212399	0	0.0867038949094417	0	0.138261615232642	0.283920555421891	0	0.241251449488155	0	0.0648523667354721	0	0.227953910896502	1.10326069868946
Sim21	0.0458707781045499	0.039944913071671	0	0	0.0246122550716605	0.412959093291006	0.0391720956645564	0.149563178931612	0	0.287877685864944	0	0.295397292487295	1.08153154413544
Sim22	0.0377018700243429	0.0104867926330867	0.236306642053668	0	0.021190693754577	0	0.305881321015808	0	0.228334461938845	0.160098218579673	0	0.322194856102606	1.07016694524607
Sim23	0	0.138650478073646	0.0670373459334699	0.193370425899096	0	0	0.158155956939558	0.282016880052205	0	0.160768913102025	0	0.405288914853641	0.997407210638315
Sim24	0.0995968441494695	0.0340399794921647	0.338204858666945	0	0	0	0.387034959575298	0.0971626998686391	0	0.043960658247484	0	0.0265180863689787	1.27577487429534
Sim25	0	0.0274704018980146	0.0393155009195251	0	0.212413663315467	0.418286762886944	0	0.0917676931395028	0.194545401001277	0.0162005768392697	0	0.117618004357708	1.17653170718871
Sim26	0	0	0.226072909810026	0	0.0465068573135987	0.336412495709249	0	0.140666332639511	0.0840850385648818	0.166256365962733	0	0.362076307865365	1.01355167608599
Sim27	0.333083491142624	0	0.13409408264228	0	0	0.225526681626922	0.0368077813211469	0.0504419331225432	0.129581111092414	0.0904649190520703	0	0.330962601668029	1.03582006030624
Sim28	0.610057326198923	0	0.177832411607717	0	0	0	0	0.202903313569315	0	0.00920694862404526	0	0.141368212998339	1.1715402558072
Sim29	0.132423657221756	0	0.115821284513176	0	0.169184718461131	0	0.302156059445067	0	0.244166666344842	0.0362476140140283	0	0.200915676802722	1.14864461752581
Sim30	0	0.101940824403049	0.0463287612278223	0	0	0.355267601891556	0.407679536110768	0.0887832763668056	0	0	0	0.207587400804113	1.15652617990969
Sim31	0	0.120363513181023	0.340613015157479	0.117162699007257	0.00859928606596911	0	0	0	0.0237812345657179	0.389480252022554	0	0.337694747075303	1.07503499811518
Sim32	0.16092444202455	0.234840557246732	0	0	0	0.114537319438345	0	0.268608991317402	0	0.221088689972971	0	0.0779152298536784	1.22956653956874
Sim33	0.0315428094765562	0	0	0.310064876621694	0.132561700701411	0.217321344594303	0.0566248356301454	0.101019584329372	0.150864848646518	0	0	0.348463409321098	1.02191698161085
Sim34	0	0.286735104768395	0.356954125997952	0	0.0786336802715343	0.0942940999516141	0	0.101284546183398	0.0349122110306146	0.0471862317964918	0	0.123715717632717	1.18222413075435
Sim35	0	0.0366979410772086	0.232952926760019	0	0.00201739369375598	0.276252810518691	0.0995082411118661	0.24143391787514	0.11113676896332	0	0	0.04827067336586	1.22697762320395
Sim36	0	0.0380932671839529	0.180325801036849	0	0.0532478606276643	0.243638002169765	0.322927095225226	0.0586093676494013	0.103158606107141	0	0	0.126528643749333	1.19126149199202
Sim37	0.00841359460179525	0.2669503677438	0.254481451795592	0	0	0.0405655394019267	0.41287294766816	0	0.0167160987887261	0	0	0.281794983430598	1.11072177151604
Sim38	0	0.0914559134203532	0.25770671076822	0	0.16616546399919	0	0.324744689928072	0	0.159927221884165	0	0	0.278900687040055	1.09095702074683
Sim39	0.567523798234986	0	0.0158000996351068	0	0	0.161591402164106	0	0.137733533141175	0	0.117351166824626	0	0.312875210765602	1.05763671873405
Sim40	0.0148193508192918	0.114278817234833	0.181702142376576	0	0.16083003977007	0.156079590471269	0	0	0.227309491151891	0.144980568176069	0	0.271627014760408	1.07993033904058
Sim41	0	0.115777811259834	0	0.627004053532009	0	0	0	0	0.257218135208157	0	0	0.178582364827592	1.16292834581158
Sim42	0	0.106859958834145	0.42457565640594	0.114072352491375	0.056549581053465	0	0	0.0249197485818841	0.160888190444156	0.112134512189035	0	0.0848266629223251	1.21203921123687
Sim43	0.16425810270946	0	0.372807059115449	0	0.00730828423062736	0.12309810783755	0	0.0832620358048697	0.0268068271122537	0.22245958318979	0	0.113346032943251	1.2013917214049
Sim44	0	0.36073996447606	0.109909480037572	0	0	0.0855076450817218	0	0.0416176047588273	0.0768338552739054	0.325391450371913	0	0.483615439366234	0.938234285283969
Sim45	0	0.00215305498367318	0.0698599704723451	0.605794548841967	0.0615199396467806	0	0	0.243260157084675	0	0.017412328970559	0	0.195728583486367	1.13405659324873
Sim46	0.398486874188208	0	0.0767018001197971	0.0180642009956764	0	0	0.262187019368577	0.208750029019231	0	0.0358100763085101	0	0.325873700368516	1.05489514956875
Sim47	0.14842976840151	0	0	0	0.167185662576426	0.309795100056408	0.0575034691249802	0.0431963754928343	0.202569890039983	0.0713197343078583	0	0.27437372941753	1.07880850623407
Sim48	0.218361356067713	0.0337197461515584	0.203854419243829	0	0	0.158030189346091	0	0	0.185353831042648	0.200680458148161	0	0.111182043546443	1.19350204451338
Sim49	0	0	0.145966173513962	0.0184263341395638	0.395385246612607	0.165014461406007	0.266934224671118	0.00827355965674222	0	0	0	0.244857517968678	1.13709004949632
Sim50	0.13197111577146	0.0459295257078874	0.0647157266701607	0	0	0.0644800637992791	0.379633703778017	0.219587526168102	0	0.0936823381050932	0	0.305791493244744	1.08131980902229
Sim51	0.139888772667331	0.061642901141087	0.498446347779131	0	0	0	0.0107849782841198	0.123231968073474	0.0103523949508036	0.155652637104054	0	0.0945924941835473	1.21925752973666
Sim52	0	0.0233656153484951	0.453675302736297	0.3278098508182	0	0	0.162189309363465	0.0329599217335431	0	0	0	0.0404345240122985	1.26280294322751
Sim53	0.167492931836086	0.0160026972976388	0.101894525940567	0	0.00344602411234154	0.177172361132015	0.214074178186947	0.210614154181594	0	0.10930312731281	0	0.155390281691221	1.17123870128142
Sim54	0.167709288370949	0.131851449913031	0.221821110935147	0	0	0	0	0.059803168287706	0.0943807387302881	0.324434243762878	0	0.447055494225151	0.960819022735745
Sim55	0.236969715037594	0	0.191990633240815	0	0.174322940274932	0.0615149287865077	0.300333406494628	0.034868376165524	0	0	0	0.125973718889094	1.19970012405687
Sim56	0.282166718278738	0	0.156140636854262	0	0	0.0752910591236926	0	0.156506043774824	0	0.329895541968483	0	0.157142505757876	1.17465056634514
Sim57	0	0.126997963667635	0	0.343094104043805	0.0589679167591537	0.386301434822408	0	0.0386912342895707	0.0459473464174267	0	0	0.244590843281856	1.10540149667975
Sim58	0.345449054673016	0.114154787169828	0.166189852811276	0	0	0.0149923352720299	0.0174139870550291	0.0341809098191167	0.0543078380035733	0.253311235196131	0	0.207307992289214	1.14086271253164
Sim59	0	0.120586343506284	0.368413389392514	0.0199547043781982	0	0	0.299022461979051	0.130170273169985	0	0.0618528275739679	0	0.313929423372045	1.07098865701884
Sim60	0	0.275442175450985	0.179078884042986	0.259784881211994	0	0.0035064072408026	0.170121540705912	0.11206611134732	0	0	0	0.130230465577987	1.18848562761104
Sim61	0.108578690251258	0.160162445879666	0.0835777326935344	0.424117111143507	0	0.0121859875550586	0.211378032476976	0	0	0	0	0.241423885194395	1.12965174009868
Sim62	0.0720455905171151	0.0253282947756372	0.495290350456287	0	0.0685058309799531	0	0	0.0287007847021415	0.0484354455292363	0.261693703039629	0	0.197971755565819	1.16506341990603
Sim63	0.11014326476834	0	0.0596836747974994	0.0658651175224837	0.278587989760677	0.176769106680616	0	0	0.0824056566536577	0.226545189816726	0	0.321458917085815	1.06040060578825
Sim64	0.0423353729742933	0.380614297061935	0.205416188143289	0	0.25136939598168	0	0	0.0542193418371659	0	0.0660454040016365	0	0.292245360307223	1.07850662104028
Sim65	0.14805625657439	0	0.023277955989631	0.0545121986334264	0	0.218906490213351	0	0.0700509121128025	0.255390773485747	0.229805412990651	0	0.253683165402658	1.1033734863587
Sim66	0	0.192066293845514	0.151784627416754	0.0777627012450083	0.0770546921472429	0.184761886886032	0.138310310127394	0.170470462832514	0.0077890254995408	0	0	0.283851892403071	1.07032108866867
Sim67	0.0362528721781276	0	0	0.606959965740834	0	0	0.0310212894278483	0.0922274897494939	0.174090344602662	0.0594480383010347	0	0.176747617531501	1.15873031647005
Sim68	0.0837443098609464	0.00182219053985073	0.149358264922263	0	0.184354295559925	0.187743907636389	0.305560447622331	0	0.0874165838582941	0	0	0.279477922433897	1.09006894665022
Sim69	0.207979728912881	0	0.172414499001482	0	0.105386925964336	0.324621482143482	0	0.102847691232999	0.0156904141413873	0.0710592586034326	0	0.385516908308983	0.991169425193091
Sim70	0.0610486901108934	0	4.9077611684008e-05	0	0	0.247617280648164	0.581782459365383	0	0.109502492263876	0	0	0.214827450365579	1.1788848649041
Sim71	0.179460662645378	0.143584787069147	0.314226700742554	0.0198785864413871	0	0.129685959402625	0.166525684770344	0.0466376189285661	0	0	0	0.371109720020346	1.01665132002778
Sim72	0.0895683325512747	0	0.20708340072645	0	0.148289844831369	0.128424022967315	0.240827390921193	0.0444523038991172	0.11224857072262	0.0291061333806605	0	0.39858937054456	0.990526642727407
Sim73	0	0.223315078972385	0.117880198975842	0.195401139048572	0	0.119417221168401	0.156333004756147	0.0805193549488537	0.107134002129798	0	0	0.409714898113318	0.983294316882843
Sim74	0	0.0574091512688871	0.114437245134645	0.19288022527986	0.071646566506662	0	0.354437096731913	0.0291577478026288	0.0456066185988829	0.134425348676521	0	0.23246216420142	1.14642256241894
Sim75	0.105421221393997	0	0.068338101265379	0	0.185061061659966	0.150718536370127	0.336433502402447	0	0.154027576908084	0	0	0.319941491800954	1.06339607906507
