Mixture	B.cell	Dendritic.cell	Macrophage	Neutrophil	T.cell	Basophil	Monocyte	NK.cell	P-value	Correlation	RMSE
Sim1	0	0	0.152623570857431	0.20231286657832	0	0.25693362937508	0.179261006800351	0.208868926388819	0	0.199283594585224	1.08395050792143
Sim2	0.123493076750819	0	0.463517070633181	0	0.307370931316981	0.105618921299019	0	0	0	0.441247645365072	0.909577790723592
Sim3	0.0222067498268956	0	0.0321676195133484	0.616944130075759	0.174766048118708	0.153915452465289	0	0	0	0.253431787444646	1.07496333879664
Sim4	0	0	0	0.561805127665302	0	0	0.213899843312514	0.224295029022183	0	0.245417803920901	1.0677488771665
Sim5	0.96445651425519	0	0.00846869809390428	0	0.00100811751096077	0	0	0.0260666701399447	0	0.295303595933247	1.11316506222449
Sim6	0	0.0468319839914258	0.0231948681080155	0	0.545800280137959	0	0.360798740845994	0.0233741269166049	0	0.121915421142617	1.12215769707433
Sim7	0	0.05064081469244	0.125116162931378	0.188611313884571	0.241974249583729	0.143142582668593	0.0611317983428519	0.189383077896438	0	0.203197145436154	1.06138684194382
Sim8	0.761747281797661	0	0.0133558722036725	0	0	0	0.051103711911624	0.173793134087043	0	0.422815935114488	0.956995529439782
Sim9	0.0891873062316456	0.0874594124751467	0.00127561152548176	0.128374858989849	0.0340192455641754	0.294676267384609	0.219591881648142	0.145415416180951	0	0.29116417435808	1.01074564472407
Sim10	0	0.219764943809311	0	0.358698862996644	0.131468216762609	0.0154348293825203	0.1304891234085	0.144144023640415	0	0.388451584444391	0.948496859236455
Sim11	0	0.341837319114152	0.304879005175289	0.0554781559924844	0.160415257356899	0.0412438477477471	0.0961464146134277	0	0	0.309538656104447	1.00763250349285
Sim12	0.0811105599336714	0.0311556448755644	0.214575908594994	0.259491262711844	0.224459414635374	0.189207209248551	0	0	0	0.307789695557375	0.987753774531141
Sim13	0	0.00525654021553275	0	0.36963362525444	0	0	0.378775007732831	0.246334826797197	0	0.252983498135229	1.0500438061908
Sim14	0.104884415647081	0	0.0901841870517821	0.313295640119397	0.189558294884573	0.132322072894232	0.169755389402935	0	0	0.297483273364724	0.989346765763366
Sim15	0	0.0362666629088485	0	0.460909425332274	0.357372774844188	0.0338878620816958	0.0173247536402874	0.0942385211927057	0	0.1645216228871	1.10799139095273
Sim16	0.18152560675868	0.314871512110407	0	0.275391422662078	0.0144253423357264	0.213786116133108	0	0	0	0.00764658683820572	1.16206208426169
Sim17	0.576706358793927	0	0	0.0453760720339379	0.0652869993791932	0	0.312630569792942	0	0	0.115630288393666	1.09658137598969
Sim18	0.0806143757600226	0.0130769802548519	0.216309952270389	0.358171747590258	0	0.189705873686899	0	0.14212107043758	0	-0.0535156172591116	1.20556318132645
Sim19	0.0770261400045364	0.131003523124935	0.225270832504495	0.0643448817877714	0.132734702185469	0.297648920949321	0	0.0719709994434719	0	0.35106074681906	0.96183112546943
Sim20	0.171479386845783	0	0.617810511167655	0	0	0.0220636955368505	0.178696031230894	0.00995037521881808	0	0.0770553367977424	1.14513976588027
Sim21	0.0685951245688419	0.385848823311754	0	0.0569577142931061	0	0.362900444598739	0	0.125697893227559	0	0.137327751118704	1.10756421942375
Sim22	0	0	0.0984843206921215	0.103251126798325	0.0877182492040107	0.0209836486842032	0.247427365365603	0.442135289255736	0	0.261981540346219	1.08768718239816
Sim23	0	0	0.314239397834779	0.603093171236396	0	0.0826674309288248	0	0	0	0.321211958320488	1.06888166368739
Sim24	0.330530315333034	0.284818736800885	0	0.240610458095786	0	0	0	0.144040489770294	0	0.259191161578335	1.02159613743168
Sim25	0	0.0241576542482302	0.31337227010858	0.0556931766783327	0.298139600273422	0	0.308637298691435	0	0	0.153477471384098	1.07693446364131
Sim26	0	0.0118090494692559	0.167589635347612	0.277152024039871	0.0307281595156642	0.375724828029412	0	0.136996303598184	0	0.359826850659902	0.982730266535692
Sim27	0.139087378179402	0.0543688178643595	0.0668116267588104	0	0.390531419813824	0.0978906766434832	0.205827891233939	0.0454821895061827	0	0.341441457369905	0.960993043822968
Sim28	0.625743556528324	0	0.1821470939591	0.0388693144494117	0.131102006187117	0.0221380288760479	0	0	0	0.224571703585857	1.06133307031904
Sim29	0.126712942319446	0.411835496616677	0.172610837370867	0	0.178373086999379	0.110467636693631	0	0	0	0.302928679498624	0.997613314417034
Sim30	0.176375894049229	0	0.26990272714546	0.133254334894955	0.277550714669239	0	0	0.142916329241116	0	0.084545508730114	1.12082954886545
Sim31	0.325407648103679	0.231325467771819	0.0328693729618792	0	0.084169876590414	0.0815104023676925	0.0638183248581836	0.180898907346333	0	-0.040523173350752	1.1532815376647
Sim32	0.15273880527437	0	0	0.702288073153636	0	0.0511788674322138	0	0.0937942541397805	0	0.274583113540461	1.07748919815118
Sim33	0.357447815686276	0.0439929792074056	0.134260152968227	0.0353892952128489	0	0.00687300390142347	0.193492826729002	0.228543926294817	0	0.202032004132339	1.03860867168337
Sim34	0.131355360637438	0	0	0.159338984515018	0.370946607665633	0.134300322354722	0.0783230850739912	0.125735639753198	0	0.0647503635331085	1.12136695151346
Sim35	0	0.277581338442026	0	0	0	0.259060521828484	0.241895459185823	0.221462680543667	0	0.152103592299774	1.12337853609541
Sim36	0.14968579962958	0	0.110906236242146	0.0312933680279362	0.270140495184015	0.106440827520384	0.240178367683409	0.0913549057125301	0	0.29492483995104	0.983321307918599
Sim37	0	0	0.246413977900937	0.0565410889115892	0.387510034893221	0	0.309534898294252	0	0	0.331302680283943	0.976114747484456
Sim38	0.218758291993644	0.0751224917783597	0.169104015526948	0	0.436674650173584	0	0.100340550527465	0	0	0.23757580288399	1.0301213251546
Sim39	0	0.134283861432257	0	0.113121572891668	0	0.334669405697895	0.246692521905426	0.171232638072753	0	0.233564714276352	1.07651773563611
Sim40	0	0.0660519359340533	0.166907940674485	0.264003421061483	0.101868181023938	0.106605208993511	0.167447042097408	0.127116270215122	0	0.320600630726539	0.985867434583282
Sim41	0.0143497102106651	0.514371864791918	0	0	0	0	0.280265232404802	0.191013192592615	0	0.250228827191215	1.05933999536235
Sim42	0.322477301282439	0	0.244827250860385	0.197879095479221	0.198077335176443	0.0367390172015127	0	0	0	0.180685263317115	1.05561123985069
Sim43	0.172554970481376	0	0.139643464245251	0.097518254082208	0.0517025270828016	0	0.18928062169826	0.349300162410103	0	0.253437380272279	1.03597989470227
Sim44	0	0.14680365267079	0.280138372145534	0.168984515345229	0.157174764258939	0.0917035292679419	0	0.155195166311566	0	0.253379093564722	1.0353160185233
Sim45	0.230185397859439	0	0.333129371279241	0	0.284996358018777	0.151688872842542	0	0	0	0.218205319251845	1.02755884596714
Sim46	0.119270790070035	0	0.100104699143871	0.302664885180498	0	0	0.311854085574237	0.166105540031359	0	0.29497561450405	0.998846163320716
Sim47	0.740311236778145	0	0	0	0.0955248055346171	0.00132934728896717	0.127936016585022	0.034898593813248	0	0.469779353970238	0.931781504020305
Sim48	0.584496799049967	0.0447723377659347	0.0813885844686039	0	0	0.131481244145785	0	0.157861034569709	0	0.310474667639176	0.992310331839782
Sim49	0	0.0231068419711036	0.43995295616828	0.259760388294829	0.041496819445517	0.141168158820045	0.0802177195485667	0.0142971157516579	0	0.306935060591575	1.01783955488894
Sim50	0	0.0984271261478443	0	0	0.32044222605474	0.112805608635308	0.163869311649962	0.304455727512145	0	0.295246459023377	1.05474582977925
Sim51	0	0.19036016313395	0	0.329500071778563	0.0734556065364357	0.329480729585511	0	0.0772034289655401	0	0.315805096918307	1.00162163987182
Sim52	0	0.162485337697417	0	0.0812806156792622	0.0927390673769162	0.165913086278834	0.358720156181942	0.138861736785629	0	0.16687236247015	1.08787167917094
Sim53	0.0122866816470901	0.287798918359528	0	0	0	0.672302172776056	0	0.0276122272173257	0	0.0580905741381419	1.25214152191769
Sim54	0.316460973221309	0.0525799827415231	0	0.0171460872845218	0.428870814693433	0	0.184942142059214	0	0	0.161184929978725	1.05988284791484
Sim55	0	0.342486384026142	0	0.257692036476924	0.136939927566448	0.0916144279052173	0	0.171267224025268	0	0.387498870178957	0.951639132381191
Sim56	0.437156620016989	0.115116783850287	0	0.0373517237600383	0.192052715446274	0.123335197705135	0.017183554698449	0.0778034045228271	0	0.321446375698468	0.971257173114255
Sim57	0.156695538939715	0	0.383787561291674	0.106290297576864	0.242302954495171	0.000192248128894445	0	0.110731399567682	0	0.307444429085757	0.995685693848353
Sim58	0.240037683390484	0.0384472055009583	0	0	0	0.0344072384046499	0.309325907543687	0.377781965160222	0	0.184568783143525	1.09103933729009
Sim59	0	0.330396214391071	0.3107306428096	0.0709771997517236	0.0972701128982943	0.167257412141044	0.0233684180082669	0	0	0.279154092518526	1.02694898438256
Sim60	0.0825442989409063	0.100095421089161	0.409301116998333	0.236292198560586	0.0209215288217518	0.0544490212324455	0	0.0963964143568167	0	0.291318986564364	1.01855187420778
Sim61	0.233118461234114	0.14432492244687	0	0.110689961903393	0.496296359749439	0	0	0.0155702946661841	0	0.16055458500184	1.09507565904141
Sim62	0.0662719596585096	0.0800098570227559	0.270076256585604	0.128135960673907	0.138228080423398	0.148080889621875	0.16919699601395	0	0	0.40853675941886	0.924714658527921
Sim63	0.239148222262914	0.184891869471703	0.330767339609056	0	0.197395434463162	0.0477971341931651	0	0	0	0.175792201656784	1.06105002199748
Sim64	0.0947551917870848	0.340473736368186	0.0402922874492807	0.209625834993749	0	0	0.155548155608511	0.159304793793189	0	0.398227602691546	0.938995770586624
Sim65	0.0432310921739718	0.0461504467711529	0.068760449376996	0.346221372648238	0.11837236165958	0.138380596650417	0.0650051979888194	0.173878482730825	0	0.101974124026623	1.10886219672146
Sim66	0.0780378959925124	0.217605777719276	0.324140642228945	0.335139185414987	0	0.0247710946875747	0	0.0203054039567048	0	0.153679282927211	1.13128720713983
Sim67	0.0947598358113299	0	0.483648330450711	0	0	0.104057466740117	0	0.317534366997842	0	0.424825489333848	0.94394373704173
Sim68	0.157467465041102	0.201575128297467	0	0.0688698168658428	0.288729691553011	0.180878260215545	0.102479638027032	0	0	-0.0301822098482313	1.13538052196854
Sim69	0.164157004419603	0.0964615290442484	0.335393970541662	0.191090703624183	0.0674122086332063	0	0.0847602992159727	0.0607242845211254	0	0.308126484240794	0.993089851390422
Sim70	0.109168990121973	0	0.252717195665081	0.371680277827451	0.0546152194251355	0.139694306435537	0	0.0721240105248225	0	0.117639594164834	1.11112711581929
Sim71	0	0	0.275814726025443	0.108812868363591	0.145351684372917	0.0980147209534332	0.212177164135875	0.15982883614874	0	0.30026813164414	1.00203975739988
Sim72	0.372652928699784	0.213697054037245	0	0.0242751368923537	0.199608463899061	0.0313409935356383	0.137434276433756	0.0209911465021623	0	0.195208408755652	1.03166805196728
Sim73	0.208524366647033	0.180588500721693	0.129850492394952	0.0651918328814842	0.169002424413362	0.232842089463835	0	0.0140002934776415	0	-0.00221562231603733	1.12617984073312
Sim74	0.0571463869895877	0.0875748779043318	0	0.557943467098147	0.083132340718876	0.0391907948545072	0	0.17501213243455	0	0.254526729278998	1.05382809226648
Sim75	0	0	0	0.586773816682291	0	0	0.226276898431694	0.186949284886015	0	0.325356962704509	1.01872249436805
Sim76	0	0.0273494581019193	0.312200031799994	0.0384094194904187	0.10825545997209	0.0634088081702788	0.216345789052469	0.234031033412831	0	0.199869914880738	1.07712161103192
Sim77	0.10001998091114	0.12813327743902	0.0414784756795276	0.599377906915886	0	0.0425233341450339	0	0.0884670249093927	0	0.258024234021838	1.0740188702991
Sim78	0	0.384939363694988	0	0.0737415833326156	0.156372565734474	0	0.289861481835402	0.0950850054025201	0	0.0500324270619859	1.14297701495216
Sim79	0	0.0406785298455958	0.128689270408549	0.406123768402205	0.00673481609622246	0.222123484046736	0.040751510763175	0.154898620437517	0	0.349412522457975	0.985421596456195
Sim80	0	0.142116246706827	0	0.439042316533905	0.132903151944313	0.069685773387412	0.0212038464741236	0.19504866495342	0	0.239078448562527	1.05105589139794
Sim81	0	0	0.382441747992186	0.434235458005641	0.070412174392835	0.112910619609337	0	0	0	0.405302105969377	0.968668013289622
Sim82	0.058846353795896	0.138735364167214	0	0.308559160485358	0.00321089238404801	0.412843937363161	0	0.0778042918043225	0	0.22501982952476	1.06732601300182
