betahat	betasim	difs	Method
0.262188298300067	0.267091056517365	-0.00490275821729796	CIBERSORT
0	0	0	CIBERSORT
0.309466194479702	0	0.309466194479702	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0.147931252383619	0.222115188628572	-0.074183936244953	CIBERSORT
0.25477577277594	0.256456719523744	-0.001680946747804	CIBERSORT
0	0.37219423866308	-0.37219423866308	CIBERSORT
0.201739458318266	0	0.201739458318266	CIBERSORT
0	0.237231666816196	-0.237231666816196	CIBERSORT
0.239919792695111	0	0.239919792695111	CIBERSORT
0.0283346493622185	0.295281209526115	-0.266946560163896	CIBERSORT
0.251310000399998	0.269978883763137	-0.018668883363139	CIBERSORT
0.157338504655775	0	0.157338504655775	CIBERSORT
0	0	0	CIBERSORT
0.185201168916637	0.311481460472778	-0.126280291556141	CIBERSORT
0.102956233149137	0.360136518778416	-0.257180285629279	CIBERSORT
0	0	0	CIBERSORT
0	0.192340294944975	-0.192340294944975	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0.51470668314599	0.546608321032297	-0.031901637886307	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0.183505660271046	0.305213693148297	-0.121708032877251	CIBERSORT
0.267690847440552	0.30304476851705	-0.035353921076498	CIBERSORT
0.00687436065282198	0	0.00687436065282198	CIBERSORT
0.183005714495349	0	0.183005714495349	CIBERSORT
0.0776123335773586	0	0.0776123335773586	CIBERSORT
0	0.159783585344662	-0.159783585344662	CIBERSORT
0.0484417913526271	0.234538078605827	-0.1860962872532	CIBERSORT
0.0995163122094624	0	0.0995163122094624	CIBERSORT
0	0	0	CIBERSORT
0.214359874559544	0.187524621322597	0.026835253236947	CIBERSORT
0	0	0	CIBERSORT
0.187596856055773	0.282995891926592	-0.095399035870819	CIBERSORT
0.205746607810996	0	0.205746607810996	CIBERSORT
0.184634859732327	0.358860291208306	-0.174225431475979	CIBERSORT
0	0	0	CIBERSORT
0.131235544410233	0.218275071808475	-0.087039527398242	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0.121264391601215	0.138289091673497	-0.017024700072282	CIBERSORT
0	0	0	CIBERSORT
0.0379441871422827	0.175388157173647	-0.137443970031364	CIBERSORT
0	0	0	CIBERSORT
0.10964484108966	0.108998800532579	0.000646040557080993	CIBERSORT
0	0.148416832187951	-0.148416832187951	CIBERSORT
0.00622259093677478	0	0.00622259093677478	CIBERSORT
0	0	0	CIBERSORT
0	0.215775221283256	-0.215775221283256	CIBERSORT
0.228517044583951	0.307737618816988	-0.079220574233037	CIBERSORT
0.10440091270081	0.428633240919901	-0.324232328219091	CIBERSORT
0	0	0	CIBERSORT
0.0246040441302849	0.355294495028797	-0.330690450898512	CIBERSORT
0	0	0	CIBERSORT
0.177310002393425	0.183477660854882	-0.006167658461457	CIBERSORT
0.116990227081543	0	0.116990227081543	CIBERSORT
0.110471967620921	0.327843162370242	-0.217371194749321	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0.0803118844067438	0.140858793461757	-0.0605469090550132	CIBERSORT
0.204706293428129	0	0.204706293428129	CIBERSORT
0	0.173756030568181	-0.173756030568181	CIBERSORT
0.213121394083527	0	0.213121394083527	CIBERSORT
0.363369421404891	0	0.363369421404891	CIBERSORT
0.0165367896593266	0	0.0165367896593266	CIBERSORT
0.36765878915983	0.506845598603224	-0.139186809443394	CIBERSORT
0	0.149019079600121	-0.149019079600121	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0.298936046759624	0.285589713246849	0.013346333512775	CIBERSORT
0	0	0	CIBERSORT
0.238272754984505	0.305115611636478	-0.066842856651973	CIBERSORT
0.0276634245015698	0.283817042551357	-0.256153618049787	CIBERSORT
0.340622856154901	0.481882627009605	-0.141259770854704	CIBERSORT
0.0204731550838391	0.121576347691968	-0.101103192608129	CIBERSORT
0	0	0	CIBERSORT
0	0.300175392625009	-0.300175392625009	CIBERSORT
0	0	0	CIBERSORT
0.146200389292456	0	0.146200389292456	CIBERSORT
0.112371313190624	0	0.112371313190624	CIBERSORT
0	0.265005160237647	-0.265005160237647	CIBERSORT
0.181170821152735	0.0840856027529687	0.0970852183997663	CIBERSORT
0	0	0	CIBERSORT
0.0363466825992071	0	0.0363466825992071	CIBERSORT
0.283681848111719	0	0.283681848111719	CIBERSORT
0	0	0	CIBERSORT
0.0504980823049514	0.180132197525254	-0.129634115220303	CIBERSORT
0.224686613664688	0	0.224686613664688	CIBERSORT
0	0	0	CIBERSORT
0.107121586261353	0	0.107121586261353	CIBERSORT
0.149026622885496	0.382121399438687	-0.233094776553191	CIBERSORT
0	0.535024351796859	-0.535024351796859	CIBERSORT
0	0	0	CIBERSORT
0.00275689955999093	0.379759379318568	-0.377002479758577	CIBERSORT
0.358879003843101	0	0.358879003843101	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0	0.346858692075617	-0.346858692075617	CIBERSORT
0.314307828720345	0.253277174781408	0.061030653938937	CIBERSORT
0.140267569875593	0.346611843569773	-0.20634427369418	CIBERSORT
0	0.296375691768459	-0.296375691768459	CIBERSORT
0	0	0	CIBERSORT
0	0.137706449101549	-0.137706449101549	CIBERSORT
0.37830643834287	0.343839016725831	0.034467421617039	CIBERSORT
0	0	0	CIBERSORT
0.511615454672334	0.768082047591859	-0.256466592919525	CIBERSORT
0.0259469589463455	0	0.0259469589463455	CIBERSORT
0	0	0	CIBERSORT
0.101401349398472	0	0.101401349398472	CIBERSORT
0.0312002647984414	0.195208862101459	-0.164008597303018	CIBERSORT
0	0	0	CIBERSORT
0.16023720720424	0.249704654097198	-0.089467446892958	CIBERSORT
0	0	0	CIBERSORT
0.273169956209095	0.149617822593413	0.123552133615682	CIBERSORT
0.0245359546262668	0	0.0245359546262668	CIBERSORT
0	0.268050526402341	-0.268050526402341	CIBERSORT
0	0	0	CIBERSORT
0	0.0557090592600067	-0.0557090592600067	CIBERSORT
0.265119488833277	0	0.265119488833277	CIBERSORT
0.00093824026159329	0.156490245861312	-0.155552005599719	CIBERSORT
0.0673663067917484	0	0.0673663067917484	CIBERSORT
0.25459371731051	0.246840814209378	0.007752903101132	CIBERSORT
0	0.102794954228011	-0.102794954228011	CIBERSORT
0	0	0	CIBERSORT
0.139692915048798	0	0.139692915048798	CIBERSORT
0.199123906051877	0	0.199123906051877	CIBERSORT
0.116645103365212	0	0.116645103365212	CIBERSORT
0.10056811445458	0	0.10056811445458	CIBERSORT
0	0.331046130847925	-0.331046130847925	CIBERSORT
0.0486486781431543	0	0.0486486781431543	CIBERSORT
0.190733370637203	0.291619172365505	-0.100885801728302	CIBERSORT
0	0	0	CIBERSORT
0	0.195951064621403	-0.195951064621403	CIBERSORT
0.354662391497115	0.507410003587728	-0.152747612090613	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0	0.236179697707589	-0.236179697707589	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0.39246250945294	0.71540141599848	-0.32293890654554	CIBERSORT
0.254372801412871	0.175883313448944	0.078489487963927	CIBERSORT
0.0121218581966788	0	0.0121218581966788	CIBERSORT
0.390574508383249	0.435698946820339	-0.04512443843709	CIBERSORT
0	0	0	CIBERSORT
0.238483450845999	0	0.238483450845999	CIBERSORT
0	0.146962809924632	-0.146962809924632	CIBERSORT
0.0782447988590163	0	0.0782447988590163	CIBERSORT
0	0	0	CIBERSORT
0	0.162048693487425	-0.162048693487425	CIBERSORT
0.186475555677385	0.375396994241674	-0.188921438564289	CIBERSORT
0	0	0	CIBERSORT
0	0	0	CIBERSORT
0.249723459361454	0.370857185054927	-0.121133725693473	CIBERSORT
0	0	0	CIBERSORT
