betasim	betahat	difs	Method
0.648320587569933	0.520249733741952	-0.128070853827981	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.129882263005765	0.148074435460963	0.0181921724551977	MIXTURE
0.595274000343809	0.540189783040056	-0.0550842173037525	MIXTURE
0	0	0	MIXTURE
0	0.156867731167652	0.156867731167652	MIXTURE
0	0	0	MIXTURE
0.211420127635881	0.211585921670741	0.000165794034859779	MIXTURE
0.12641557555247	0.126615762766023	0.000200187213553055	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.138257094084601	0.300993856105318	0.162736762020717	MIXTURE
0.305008631803228	0.333660165459953	0.028651533656725	MIXTURE
0.108491404607495	0.108116252943415	-0.000375151664079712	MIXTURE
0.451855043214532	0.313693421310793	-0.138161621903739	MIXTURE
0	0	0	MIXTURE
0.282517025994515	0.297277286619092	0.0147602606245775	MIXTURE
0	0	0	MIXTURE
0.27414811366711	0.103836350010708	-0.170311763656402	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.310645237872653	0.315306826812373	0.0046615889397198	MIXTURE
0	0.104159040862451	0.104159040862451	MIXTURE
0	0	0	MIXTURE
0	0.162026265608257	0.162026265608257	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.515171039317744	0.468003828382947	-0.0471672109347975	MIXTURE
0	0	0	MIXTURE
0	0.0836051787449972	0.0836051787449972	MIXTURE
0.766320789851386	0.629506460697825	-0.136814329153561	MIXTURE
0	0.0536691010554371	0.0536691010554371	MIXTURE
0.218970240583665	0.218622070488624	-0.000348170095040706	MIXTURE
0	0	0	MIXTURE
0	0.0273446277554229	0.0273446277554229	MIXTURE
0	0.217299429997663	0.217299429997663	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.146929844133138	0.291722599922393	0.144792755789255	MIXTURE
0.131931907994447	0	-0.131931907994447	MIXTURE
0.216124795433942	0.230932793093142	0.0148079976592	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.148844881584299	0.150356088835603	0.00151120725130383	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.195787778442657	0.194535077153769	-0.00125270128888796	MIXTURE
0.0641144901404752	0.119164939967091	0.0550504498266157	MIXTURE
0	0	0	MIXTURE
0.324020381661567	0.287387112423848	-0.0366332692377186	MIXTURE
0	0	0	MIXTURE
0	0.0984823579204874	0.0984823579204874	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.189076796912618	0.189076796912618	MIXTURE
0.159572645929917	0.164180858103554	0.00460821217363705	MIXTURE
0.542396522901599	0.386045148012287	-0.156351374889312	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.203751464330073	0.17861376374501	-0.0251377005850625	MIXTURE
0	0	0	MIXTURE
0.151769344973764	0.15189910175512	0.000129756781356044	MIXTURE
0	0.130799086412517	0.130799086412517	MIXTURE
0	0.0139142265036613	0.0139142265036613	MIXTURE
0	0	0	MIXTURE
0.340998726385277	0.298959289751303	-0.0420394366339739	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.392650989207813	0.32819717559861	-0.0644538136092027	MIXTURE
0.341014089291528	0.340943123119271	-7.09661722568811e-05	MIXTURE
0	0	0	MIXTURE
0.155697950655279	0.0461613962297267	-0.109536554425552	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.508033829305404	0.438971038795086	-0.0690627905103184	MIXTURE
0	0.220035648274807	0.220035648274807	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.40160470230615	0.402625385962146	0.00102068365599606	MIXTURE
0	0.0628482628350028	0.0628482628350028	MIXTURE
0.390594996523494	0.390445028614132	-0.000149967909361781	MIXTURE
0.328390088324171	0.183499166122118	-0.144890922202053	MIXTURE
0	0	0	MIXTURE
0.179044023544675	0.237084633400763	0.0580406098560882	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.345854140266143	0.356343107385826	0.0104889671196834	MIXTURE
0	0.0559786784900563	0.0559786784900563	MIXTURE
0.315610534871321	0.274134997477513	-0.0414755373938077	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.515566092722924	0.392244029498793	-0.123322063224131	MIXTURE
0	0	0	MIXTURE
0.0913705285880718	0.0746136538085661	-0.0167568747795057	MIXTURE
0	0.210430619187913	0.210430619187913	MIXTURE
0	0	0	MIXTURE
0.195715704157667	0.187697479428221	-0.00801822472944608	MIXTURE
0	0.12871487616072	0.12871487616072	MIXTURE
0	0.0265369042910335	0.0265369042910335	MIXTURE
0	0	0	MIXTURE
0.313989765233768	0.405171147310993	0.0911813820772255	MIXTURE
0	0	0	MIXTURE
0.262158609817925	0.266507243148107	0.00434863333018221	MIXTURE
0	0.017897621448127	0.017897621448127	MIXTURE
0.171501088346261	0.0722134686068167	-0.0992876197394443	MIXTURE
0	0	0	MIXTURE
0	0.0277632393927738	0.0277632393927738	MIXTURE
0	0	0	MIXTURE
0.217743017576786	0.212936760528079	-0.00480625704870652	MIXTURE
0	0	0	MIXTURE
0.199060927380374	0.11538133402242	-0.0836795933579545	MIXTURE
0	0	0	MIXTURE
0.128806694522515	0.204846988996283	0.0760402944737677	MIXTURE
0	0	0	MIXTURE
0	0.0801688496582962	0.0801688496582962	MIXTURE
0.133403190631839	0	-0.133403190631839	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.202129173455618	0.20205005909508	-7.91143605382572e-05	MIXTURE
0	0	0	MIXTURE
0	0.0974898503941093	0.0974898503941093	MIXTURE
0	0	0	MIXTURE
0	0.0574672846522463	0.0574672846522463	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.38026287802369	0.298025747460761	-0.0822371305629289	MIXTURE
0	0	0	MIXTURE
0.232113227620036	0.207162520397316	-0.02495070722272	MIXTURE
0.482514135448557	0.48311749034721	0.000603354898653319	MIXTURE
0	0.0867604035288858	0.0867604035288858	MIXTURE
0	0	0	MIXTURE
0.307277889982653	0.482209805295371	0.174931915312718	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.269451555767705	0.214599300371518	-0.0548522553961871	MIXTURE
