betasim	betahat	difs	Method
0.287540029139075	0.287625386179051	8.53570399762527e-05	MIXTURE
0.221988282573743	0.196800335568273	-0.0251879470054701	MIXTURE
0.218003941282465	0.149633825185693	-0.0683701160967719	MIXTURE
0.241847482432639	0.195786961812585	-0.0460605206200542	MIXTURE
0.180179350644227	0.273894932354124	0.0937155817098974	MIXTURE
0.18930326439187	0.188942661080153	-0.000360603311717222	MIXTURE
0	0	0	MIXTURE
0.146963423079597	0.128376556294378	-0.0185868667852186	MIXTURE
0	0	0	MIXTURE
0.152832582867415	0.0225058242134725	-0.130326758653942	MIXTURE
0.21400323185555	0.188471331030343	-0.0255319008252068	MIXTURE
0	0	0	MIXTURE
0.16310555538249	0.171147783777035	0.00804222839454474	MIXTURE
0	0	0	MIXTURE
0.171085403395213	0.173341048212994	0.00225564481778084	MIXTURE
0	0	0	MIXTURE
0.113084376798685	0.0138816705640904	-0.0992027062345946	MIXTURE
0.319673938169581	0.319492535870655	-0.000181402298926381	MIXTURE
0	0.221976179715169	0.221976179715169	MIXTURE
0	0	0	MIXTURE
0.288371152958136	0.271440397811435	-0.0169307551467007	MIXTURE
0	0.203465595284237	0.203465595284237	MIXTURE
0.330267932516374	0.330318014160223	5.00816438490648e-05	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.429444768609395	0.429291578793107	-0.000153189816287591	MIXTURE
0	0	0	MIXTURE
0.480753638620169	0.480600214635719	-0.000153423984450007	MIXTURE
0	0.106191799639389	0.106191799639389	MIXTURE
0.377470806405911	0.3774762875546	5.48114868881289e-06	MIXTURE
0.129609634318653	0.129197733200488	-0.000411901118165053	MIXTURE
0.301941192700574	0.390822189238147	0.0888809965375732	MIXTURE
0	0	0	MIXTURE
0	0.438890079832242	0.438890079832242	MIXTURE
0.23114627583819	0.179631270588324	-0.0515150052498661	MIXTURE
0.21942178204817	0.218678636342089	-0.000743145706080639	MIXTURE
0.136313730761402	0.277237254601501	0.140923523840099	MIXTURE
0.357257351100874	0.35719442383469	-6.29272661841207e-05	MIXTURE
0.212647607529496	0.199792663254255	-0.0128549442752405	MIXTURE
0	0	0	MIXTURE
0	0.0636218119409085	0.0636218119409085	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.0173479667605171	0.0173479667605171	MIXTURE
0.299674379388252	0.247903513939706	-0.0517708654485459	MIXTURE
0	0	0	MIXTURE
0.237613689066035	0.21034590538146	-0.0272677836845754	MIXTURE
0.474943809923292	0.476917029512248	0.00197321958895569	MIXTURE
0	0.0687768390264586	0.0687768390264586	MIXTURE
0	0	0	MIXTURE
0.318639982524063	0.303492244720818	-0.0151477378032451	MIXTURE
0.210104024856876	0.107986487428024	-0.102117537428852	MIXTURE
0	0	0	MIXTURE
0	0.0382208054946796	0.0382208054946796	MIXTURE
0.305640849543198	0.305723649918386	8.28003751880968e-05	MIXTURE
0	0	0	MIXTURE
0.446085782166581	0.440736897795218	-0.00534888437136316	MIXTURE
0.543709785848119	0.519847074561577	-0.0238627112865425	MIXTURE
0.186248862899433	0.258734634055902	0.0724857711564686	MIXTURE
0.261841665517433	0.268572480382716	0.00673081486528349	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.083576622813441	0.083576622813441	MIXTURE
0.373144796133136	0.29054507219087	-0.0825997239422658	MIXTURE
0	0.0468897004004352	0.0468897004004352	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.170709896554541	0	-0.170709896554541	MIXTURE
0.195955402765494	0.14794966414469	-0.0480057386208043	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.110075527044126	0.0911870154768919	-0.0188885115672341	MIXTURE
0	0	0	MIXTURE
0.169563214276518	0.244653728539769	0.0750905142632508	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.338023649338965	0.337966803085062	-5.68462539029535e-05	MIXTURE
0.409912567333274	0.410314423142657	0.000401855809382901	MIXTURE
0.328026632866024	0.263729870262652	-0.0642967626033718	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.104406084477872	0.104406084477872	MIXTURE
0	0	0	MIXTURE
0.144855009603753	0.144428187225321	-0.000426822378432112	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.164082080207145	0.164018822019044	-6.32581881013783e-05	MIXTURE
0.332351691444566	0.316398226905694	-0.0159534645388721	MIXTURE
0.264823247775288	0.0796017377776184	-0.18522150999767	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.314328586619798	0.314395608136145	6.70215163470211e-05	MIXTURE
0.212087264472907	0.212185085442688	9.78209697806431e-05	MIXTURE
0.26582859057733	0.240292366246989	-0.0255362243303407	MIXTURE
0	0.121741016072251	0.121741016072251	MIXTURE
0	0	0	MIXTURE
0.21429657795381	0.193480838421106	-0.0208157395327038	MIXTURE
0	0.0899202491209811	0.0899202491209811	MIXTURE
0	0	0	MIXTURE
0.379044855439752	0.414381667003574	0.0353368115638216	MIXTURE
0	0.00845117302358211	0.00845117302358211	MIXTURE
0.276836494535552	0.321881059261078	0.0450445647255262	MIXTURE
0	0.139775037460119	0.139775037460119	MIXTURE
0	0	0	MIXTURE
0	0.171867931436758	0.171867931436758	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.272082195424011	0.284649552434948	0.012567357010937	MIXTURE
0	0	0	MIXTURE
0.199192801661042	0.204482101230363	0.00528929956932145	MIXTURE
0	0	0	MIXTURE
0.654671482894407	0.656636718457546	0.00196523556313855	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.0148704835238534	0.0148704835238534	MIXTURE
0.484485726905114	0.522664193984352	0.0381784670792385	MIXTURE
0.357170171024253	0.300784955431574	-0.0563852155926794	MIXTURE
0	0	0	MIXTURE
0.376007798068992	0.205791131651782	-0.17021666641721	MIXTURE
0.135619156576966	0.156110021904508	0.0204908653275421	MIXTURE
0.510507313764308	0.33785379369463	-0.172653520069678	MIXTURE
0	0	0	MIXTURE
0	0.0256561200202063	0.0256561200202063	MIXTURE
0	0	0	MIXTURE
0.235700597859961	0.235689206216045	-1.13916439164197e-05	MIXTURE
0.254636548855097	0.0718179255155462	-0.182818623339551	MIXTURE
0	0	0	MIXTURE
0.566977152472763	0.514193002028025	-0.0527841504447382	MIXTURE
0.0782839405346977	0.0609367620004157	-0.017347178534282	MIXTURE
0.25269318385119	0.144947798525544	-0.107745385325646	MIXTURE
0	0	0	MIXTURE
0.491041185868431	0.448053329657816	-0.042987856210615	MIXTURE
0	0	0	MIXTURE
0.481075239660064	0.482130298390355	0.00105505873029105	MIXTURE
0	0	0	MIXTURE
0.219623551345151	0.0186050263051604	-0.201018525039991	MIXTURE
0	0	0	MIXTURE
0	0.195020275352676	0.195020275352676	MIXTURE
0	0	0	MIXTURE
0	0.0178643792733995	0.0178643792733995	MIXTURE
0	0.0849805828244584	0.0849805828244584	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.368346710939488	0.107476363647957	-0.260870347291531	MIXTURE
0	0.057569602261125	0.057569602261125	MIXTURE
0.310000022939304	0.309879054137034	-0.000120968802269916	MIXTURE
0	0.0514762975078856	0.0514762975078856	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.208723344939401	0.15608557201111	-0.0526377729282908	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.219579573670266	0.219634356769022	5.47830987556175e-05	MIXTURE
0	0	0	MIXTURE
0.299137679270446	0.106361706403621	-0.192775972866825	MIXTURE
0	0.00732283954258186	0.00732283954258186	MIXTURE
0	0	0	MIXTURE
0.589401126821295	0.589386035516654	-1.50913046408352e-05	MIXTURE
0	0	0	MIXTURE
0.415772017617616	0.372325518614952	-0.0434464990026645	MIXTURE
0	0.0186740901219305	0.0186740901219305	MIXTURE
0.458930328157576	0.629717939702204	0.170787611544628	MIXTURE
0	0.0211193641678054	0.0211193641678054	MIXTURE
0.265511356688234	0.452868985911916	0.187357629223682	MIXTURE
0	0.119032916212142	0.119032916212142	MIXTURE
0.329826778378796	0.32984429202826	1.75136494641737e-05	MIXTURE
0	0	0	MIXTURE
0	0.177026295216504	0.177026295216504	MIXTURE
0.232731027694396	0.212527586435572	-0.0202034412588242	MIXTURE
0.266122720975833	0.0847066163720647	-0.181416104603768	MIXTURE
0.444979788748257	0.444883659102306	-9.61296459505712e-05	MIXTURE
0	0.0947001440993797	0.0947001440993797	MIXTURE
0	0.108308924524381	0.108308924524381	MIXTURE
0.36121706678524	0.378161639072403	0.0169445722871631	MIXTURE
0.415889585540601	0.415781115129913	-0.000108470410687844	MIXTURE
0	0	0	MIXTURE
0.186790017790496	0.27562337981539	0.0888333620248942	MIXTURE
0.270460204398111	0.300132767116203	0.0296725627180915	MIXTURE
0	0	0	MIXTURE
0.124393816802488	0.124713552613764	0.000319735811275756	MIXTURE
0	0.0556082741807913	0.0556082741807913	MIXTURE
0.338550254681521	0.281968787951128	-0.0565814667303929	MIXTURE
0	0	0	MIXTURE
0.381815614967036	0.221689617343478	-0.160125997623558	MIXTURE
0.146730334630175	0.371680682045677	0.224950347415502	MIXTURE
0.469817981195762	0.469806054188427	-1.19270073347111e-05	MIXTURE
0.214518069460112	0.0339597754371747	-0.180558294022937	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.387590099014733	0.48329447866926	0.0957043796545272	MIXTURE
0.250806348942151	0.117322958995533	-0.133483389946618	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.568461009428207	0.568623693239145	0.000162683810938424	MIXTURE
0.190350229538508	0.188761461729011	-0.00158876780949657	MIXTURE
0	0	0	MIXTURE
0.0864924854381236	0.0711721038372794	-0.0153203816008442	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0.0627209991536507	0.0627209991536507	MIXTURE
0	0.0520888478380683	0.0520888478380683	MIXTURE
0	0	0	MIXTURE
0.233362700176734	0.227266212050361	-0.00609648812637251	MIXTURE
0	0	0	MIXTURE
0.119457525302958	0	-0.119457525302958	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.463390791088822	0.481173971288459	0.0177831801996369	MIXTURE
0	0	0	MIXTURE
0	0	0	MIXTURE
0.389874709939709	0.349150196224211	-0.0407245137154983	MIXTURE
0.22116636905061	0.0666002100956343	-0.154566158954976	MIXTURE
0.181717065924165	0.37125583989524	0.189538773971075	MIXTURE
0	0	0	MIXTURE
0.17868850289134	0.151937000808316	-0.0267515020830237	MIXTURE
0	0.0785519232592043	0.0785519232592043	MIXTURE
0	0.155300071415422	0.155300071415422	MIXTURE
0	0.0615143447714859	0.0615143447714859	MIXTURE
0.41513458145272	0.307856720262348	-0.107277861190372	MIXTURE
0.230950468154023	0.296509308779151	0.0655588406251281	MIXTURE
0.272331330132948	0.279280116343906	0.00694878621095818	MIXTURE
0	0	0	MIXTURE
0.36469267553495	0.0914492939430373	-0.273243381591913	MIXTURE
0.446063446561204	0.42514260125951	-0.0209208453016941	MIXTURE
0.215338823563075	0.224151061980397	0.00881223841732251	MIXTURE
0.188016801108955	0.188822810098514	0.000806008989558821	MIXTURE
0	0.309916042804657	0.309916042804657	MIXTURE
