betahat	betasim	difs	Method
0	0.267091056517365	-0.267091056517365	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0.999999999997442	0	0.999999999997442	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
1	0.222115188628572	0.777884811371428	quanTIseq
0	0.256456719523744	-0.256456719523744	quanTIseq
0	0.37219423866308	-0.37219423866308	quanTIseq
1	0	1	quanTIseq
0	0.237231666816196	-0.237231666816196	quanTIseq
0	0	0	quanTIseq
0	0.295281209526115	-0.295281209526115	quanTIseq
0	0.269978883763137	-0.269978883763137	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
1	0.311481460472778	0.688518539527222	quanTIseq
0	0.360136518778416	-0.360136518778416	quanTIseq
0	0	0	quanTIseq
0	0.192340294944975	-0.192340294944975	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0.999999999995907	0.546608321032297	0.45339167896361	quanTIseq
0.999999999999091	0	0.999999999999091	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.305213693148297	-0.305213693148297	quanTIseq
0	0.30304476851705	-0.30304476851705	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.159783585344662	-0.159783585344662	quanTIseq
0	0.234538078605827	-0.234538078605827	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.187524621322597	-0.187524621322597	quanTIseq
0	0	0	quanTIseq
0	0.282995891926592	-0.282995891926592	quanTIseq
0	0	0	quanTIseq
1	0.358860291208306	0.641139708791694	quanTIseq
0	0	0	quanTIseq
0	0.218275071808475	-0.218275071808475	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
1	0.138289091673497	0.861710908326503	quanTIseq
0	0	0	quanTIseq
0	0.175388157173647	-0.175388157173647	quanTIseq
0	0	0	quanTIseq
0	0.108998800532579	-0.108998800532579	quanTIseq
0	0.148416832187951	-0.148416832187951	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.215775221283256	-0.215775221283256	quanTIseq
0	0.307737618816988	-0.307737618816988	quanTIseq
0	0.428633240919901	-0.428633240919901	quanTIseq
0	0	0	quanTIseq
0	0.355294495028797	-0.355294495028797	quanTIseq
0	0	0	quanTIseq
0.999999999998209	0.183477660854882	0.816522339143327	quanTIseq
0	0	0	quanTIseq
0	0.327843162370242	-0.327843162370242	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.140858793461757	-0.140858793461757	quanTIseq
0	0	0	quanTIseq
0	0.173756030568181	-0.173756030568181	quanTIseq
0.999999999999545	0	0.999999999999545	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.506845598603224	-0.506845598603224	quanTIseq
0	0.149019079600121	-0.149019079600121	quanTIseq
1	0	1	quanTIseq
0	0	0	quanTIseq
0	0.285589713246849	-0.285589713246849	quanTIseq
0	0	0	quanTIseq
0	0.305115611636478	-0.305115611636478	quanTIseq
0	0.283817042551357	-0.283817042551357	quanTIseq
0	0.481882627009605	-0.481882627009605	quanTIseq
0	0.121576347691968	-0.121576347691968	quanTIseq
0	0	0	quanTIseq
0	0.300175392625009	-0.300175392625009	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.265005160237647	-0.265005160237647	quanTIseq
0	0.0840856027529687	-0.0840856027529687	quanTIseq
1	0	1	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.180132197525254	-0.180132197525254	quanTIseq
1	0	1	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.382121399438687	-0.382121399438687	quanTIseq
0	0.535024351796859	-0.535024351796859	quanTIseq
0	0	0	quanTIseq
0	0.379759379318568	-0.379759379318568	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.346858692075617	-0.346858692075617	quanTIseq
0.999999999999091	0.253277174781408	0.746722825217683	quanTIseq
0	0.346611843569773	-0.346611843569773	quanTIseq
0	0.296375691768459	-0.296375691768459	quanTIseq
0	0	0	quanTIseq
0	0.137706449101549	-0.137706449101549	quanTIseq
0	0.343839016725831	-0.343839016725831	quanTIseq
1	0	1	quanTIseq
0	0.768082047591859	-0.768082047591859	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.195208862101459	-0.195208862101459	quanTIseq
