betahat	betasim	difs	Method
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.21685226127818	-0.21685226127818	quanTIseq
1	0.235190264976636	0.764809735023364	quanTIseq
0	0	0	quanTIseq
0	0.117983230834814	-0.117983230834814	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.362076229299889	-0.362076229299889	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.253717300968647	-0.253717300968647	quanTIseq
0	0	0	quanTIseq
1	0.182689736187229	0.817310263812771	quanTIseq
0	0.419092182539182	-0.419092182539182	quanTIseq
0	0.216387301046758	-0.216387301046758	quanTIseq
0	0	0	quanTIseq
1	0	1	quanTIseq
0	0.26809346441159	-0.26809346441159	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.350858376168977	-0.350858376168977	quanTIseq
0	0	0	quanTIseq
0	0.107364096820563	-0.107364096820563	quanTIseq
0	0.14800771997537	-0.14800771997537	quanTIseq
1	0.319774128798814	0.680225871201186	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
1	0.302540928827036	0.697459071172964	quanTIseq
0.999999999999091	0	0.999999999999091	quanTIseq
0	0.3911341371352	-0.3911341371352	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.471197569498495	-0.471197569498495	quanTIseq
0	0.209374242862603	-0.209374242862603	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0.999999999999432	0.387623919087493	0.612376080911939	quanTIseq
0.999999999998181	0.286128895480314	0.713871104517867	quanTIseq
0	0.617947246759931	-0.617947246759931	quanTIseq
0	0	0	quanTIseq
0	0.282517370701493	-0.282517370701493	quanTIseq
0	0.177454920567501	-0.177454920567501	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.299142044397161	-0.299142044397161	quanTIseq
0.999999999999886	0	0.999999999999886	quanTIseq
0	0	0	quanTIseq
0.999999999999318	0.166474372461956	0.833525627537362	quanTIseq
0	0.389205637034716	-0.389205637034716	quanTIseq
0	0	0	quanTIseq
0	0.347789941877643	-0.347789941877643	quanTIseq
0	0.338210124263722	-0.338210124263722	quanTIseq
0	0	0	quanTIseq
1	0	1	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.149661252042127	-0.149661252042127	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.219583726918114	-0.219583726918114	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.324943888833973	-0.324943888833973	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.297886362767021	-0.297886362767021	quanTIseq
0	0.32542058013425	-0.32542058013425	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.407441272991435	-0.407441272991435	quanTIseq
0	0.179049404051656	-0.179049404051656	quanTIseq
0	0.498848499145604	-0.498848499145604	quanTIseq
0	0.161445285209709	-0.161445285209709	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
1	0.147766528223991	0.852233471776009	quanTIseq
0	0	0	quanTIseq
0	0.265180878882988	-0.265180878882988	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.579575531056944	-0.579575531056944	quanTIseq
0	0	0	quanTIseq
0	0.328946205792611	-0.328946205792611	quanTIseq
0	0	0	quanTIseq
0	0.576894163015563	-0.576894163015563	quanTIseq
0	0	0	quanTIseq
0	0.20670873049591	-0.20670873049591	quanTIseq
0	0.314424730962405	-0.314424730962405	quanTIseq
0	0	0	quanTIseq
0	0.292828614651509	-0.292828614651509	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0.999999999999773	0.389190023054963	0.61080997694481	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
1	0	1	quanTIseq
0	0	0	quanTIseq
0	0.567261942742848	-0.567261942742848	quanTIseq
0.999999999999773	0.490884190603118	0.509115809396655	quanTIseq
0	0	0	quanTIseq
