betahat	betasim	difs	Method
0	0.276497612925117	-0.276497612925117	quanTIseq
0	0.221754320955937	-0.221754320955937	quanTIseq
0	0.478889297722193	-0.478889297722193	quanTIseq
0	0	0	quanTIseq
0	0.290441314544791	-0.290441314544791	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.232034530478588	-0.232034530478588	quanTIseq
0	0.592431473671873	-0.592431473671873	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.48294611489841	-0.48294611489841	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.560182008649693	-0.560182008649693	quanTIseq
0	0.322505351255885	-0.322505351255885	quanTIseq
0	0	0	quanTIseq
0	0.192067942448079	-0.192067942448079	quanTIseq
0	0.105799186873998	-0.105799186873998	quanTIseq
0	0	0	quanTIseq
0	0.428089419097741	-0.428089419097741	quanTIseq
0	0	0	quanTIseq
0	0.177614889760435	-0.177614889760435	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.708777214880337	-0.708777214880337	quanTIseq
0	0	0	quanTIseq
0	0.0857195436601362	-0.0857195436601362	quanTIseq
0	0	0	quanTIseq
0	0.117788856161783	-0.117788856161783	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.401685543090181	-0.401685543090181	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.257330286570936	-0.257330286570936	quanTIseq
0	0.139555313722383	-0.139555313722383	quanTIseq
0	0.273115971728799	-0.273115971728799	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.260487821455138	-0.260487821455138	quanTIseq
0	0.141918696397804	-0.141918696397804	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0	0	quanTIseq
0	0.225043190744336	-0.225043190744336	quanTIseq
0	0	0	quanTIseq
