Mixture,B cell,Dendritic cell,Macrophage,Neutrophil,NK cell,T cell,Basophil,Monocyte,P-value,Correlation,RMSE
Neutrophil,0.106525422477351,0,0.219280232440818,0.206870484366061,0.0346374912767171,0,0.432686369439053,0,0,0.423062837529844,0.95905192450268
B cell,0.611762355627881,0,0.208665261157698,0.104852240418468,0,0,0.0747201427959531,0,0,0.478283524574113,0.922840581693003
Macrophage,0,0,0.76436722231001,0.0736645160375115,0.0706769780333305,0,0.047564432135162,0.0437268514839861,0,0.54209261415318,0.861419515022392
T cell,0.0477818903228197,0.0379655371855162,0,0.119601285114299,0.237487077148599,0.477246580200642,0.0434814384620299,0.0364361915660942,0,0.521485517012291,0.907788342453807
Denditric cell,0.0679408472942401,0.491929246385018,0.212018219445469,0.130271901623326,0.06184935142919,0,0.0359904338227567,0,0,0.469612114390833,0.924500113711423
1,0.106525422477351,0,0.219280232440818,0.206870484366061,0.0346374912767171,0,0.432686369439053,0,0,0.423062837529844,0.95905192450268
2,0.106525422477351,0,0.219280232440818,0.206870484366061,0.0346374912767171,0,0.432686369439053,0,0,0.423062837529844,0.95905192450268
3,0.106525422477351,0,0.219280232440818,0.206870484366061,0.0346374912767171,0,0.432686369439053,0,0,0.423062837529844,0.95905192450268
4,0.106525422477351,0,0.219280232440818,0.206870484366061,0.0346374912767171,0,0.432686369439053,0,0,0.423062837529844,0.95905192450268
5,0.106525422477351,0,0.219280232440818,0.206870484366061,0.0346374912767171,0,0.432686369439053,0,0,0.423062837529844,0.95905192450268
